,College Name or Type,guess,name,big10,pac,sisters,hbcu
1820,technical trade/university,,,,,,
1821,top 50 lib arts,1,1,,,,
1822,t1,,,,,,
1823,big public university,,,,,,
1824,private christian,,,,,,
1825,nc state university,,1,,,,
1826,respected but not overly prest,,,,,,
1827,"california state university, s",,1,,,,
1828,top 50 national university,1,1,,,,
1829,large-state public,,,,,,
1830,public u,,,,,,
1831,university of charleston,,1,,,,
1832,nc state,,1,,,,
1833,denison university,,1,,,,
1834,western governor's university,,1,,,,
1835,private top 25 liber,1,1,,,,
1836,large public (30k+ s,,,,,,
1837,big10,,,1,,,
1838,2nd tier private,,,,,,
1839,premier public,,,,,,
1840,"private, 2k students",,,,,,
1841,d.c. liberal arts,,,,,,
1842,"u maryland, college park",,1,,,,
1843,lib-arts,,,,,,
1844,small liberal arts school,,,,,,
1845,kansas state univers,,1,,,,
1846,rhodes college,,1,,,,
1847,ut arlington,,1,,,,
1848,montana state university,,1,,,,
1849,top 25 (public),1,1,,,,
1850,hofstra university,,1,,,,
1851,select,,,,,,
1852,well regarded large hbcu,,,,,,1
1853,university of california davis,,1,,,,
1854,hope college,,1,,,,
1855,ncaa d-1,,,,,,
1856,southeastern public,,,,,,
1857,top women\'s college,,,,,,
1858,public 2 tier,,,,,,
1859,1st tier public,,,,,,
1860,public (undergrad); private (g,,,,,,
1861,u of minnesota-tc,,1,,,,
1862,good state school,,,,,,
1863,tttt,,,,,,
1864,public regional university,,,,,,
1865,tcu,,1,,,,
1866,brigham young univer,,1,,,,
1867,top regional university,,,,,,
1868,artsy private,,,,,,
1869,"small, public",,,,,,
1870,top 20 ug,1,1,,,,
1871,state public school,,,,,,
1872,southeast missouri state unive,,1,,,,
1873,1st tier natl,,,,,,
1874,public-acc,,,,,,
1875,non-prestige (tier 4),,,,,,
1876,medium private,,,,,,
1877,"public - 20,000",,,,,,
1878,washington university,,1,,,,
1879,providence college,,1,,,,
1880,"unversity of california, san d",,1,,,,
1881,american - overseas,,,,,,
1882,university of california-irvin,,1,,,,
1883,private-catholic,,,,,,
1884,wilmington university,,1,,,,
1885,excelsio college,,1,,,,
1886,real respectablelike,,,,,,
1887,"university of maryland, colleg",,1,,,,
1888,top 5 ecuador,,,,,,
1889,medium/large public,,,,,,
1890,top 20 national university,1,1,,,,
1891,top 10 ug,1,1,,,,
1892,private/catholic,,,,,,
1893,"ug-private, g-public",,,,,,
1894,university of minnesota- twin,,1,,,,
1895,massive public,,,,,,
1896,university illinois,,1,,,,
1897,shippensburg university,,1,,,,
1898,campbell university,,1,,,,
1899,small private liberal art,,,,,,
1900,new york unversity,,1,,,,
1901,public univ,,,,,,
1902,private (hbcu),,,,,,1
1903,suny albany,,1,,,,
1904,california state,,1,,,,
1905,sf state,,,,,,
1906,land grant,,,,,,
1907,para-milatary,,,,,,
1908,toledo,,1,,,,
1909,"big ten, public, top 50",,1,,,,
1910,arizona state univer,,1,,,,
1911,conservative christian,,,,,,
1912,online,,,,,,
1913,top 50 state u,1,1,,,,
1914,public-large,,,,,,
1915,"4-year, private",,,,,,
1916,public flagship,,,,,,
1917,sonoma state,,1,,,,
1918,metropolitan public university,,,,,,
1919,"large public, suny",,1,,,,
1920,multifaceted,,,,,,
1921,top 20 liberal artd,1,1,,,,
1922,regis,,,,,,
1923,university of missouri-kansas,,1,,,,
1924,university of portland,,1,,,,
1925,flagship state u.,,,,,,
1926,preppy liberal arts school,,,,,,
1927,top 100 liberal arts,,,,,,
1928,rice university,,1,,,,
1929,private university (du),,1,,,,
1930,"public, medium sized",1,1,,,,
1931,top 25 overall/top 3,1,1,,,,
1932,"top 30, private",1,1,,,,
1933,ancient 8,,,,,,
1934,ramapo college,,1,,,,
1935,univ of michigan,,1,,,,
1936,top 10 midwest regional univer,1,1,,,,
1937,top school in china,,,,,,
1938,colorado state university - gl,,1,,,,
1939,suny new paltz,,1,,,,
1940,uconn undergraduate,,1,,,,
1941,canada,,,,,,
1942,northern colorado,,1,,,,
1943,public - international,,,,,,
1944,small elite liberal arts,,,,,,
1945,top 30 liberal arts,1,1,,,,
1946,u mich,,1,,,,
1947,federal service academy,,1,,,,
1948,private/undergraduate,,,,,,
1949,private - top 50 business scho,1,1,,,,
1950,commuter public,,,,,,
1951,concord university,,1,,,,
1952,university of missouri saint l,,1,,,,
1953,central michigan university,,1,,,,
1954,/,,,,,,
1955,flagship public,,,,,,
1956,humboldt state university,,1,,,,
1957,top 50 usnews,1,1,,,,
1958,chattanooga,,1,,,,
1959,top 50 public state school,1,1,,,,
1960,"university, private",,,,,,
1961,large public - georgia,,1,,,,
1962,state-affiliated,,,,,,
1963,top 25 national ug,1,1,,,,
1964,large public urban,,,,,,
1965,top 20 school,1,1,,,,
1966,top 30 school,1,1,,,,
1967,university (hbcu),,,,,,1
1968,public - small,,,,,,
1969,tier i,,,,,,
1970,moravian college,,1,,,,
1971,sec public,,,,,,
1972,large public (ut),,1,,,,
1973,"university of california, irvi",,1,,,,
1974,princeton,,1,,,,
1975,the ivy league,1,1,,,,
1976,top liberal arts college,,,,,,
1977,private ug top 30,1,1,,,,
1978,uc merced,,1,,,,
1979,u oregon,,1,,,,
1980,unprestigious liberal arts,,,,,,
1981,columbus state university,,1,,,,
1982,public tier 1 or 2,,,,,,
1983,top canadian public,,,,,,
1984,colorado mesa university,,1,,,,
1985,top 20 la,1,1,,,,
1986,top 25 national,1,1,,,,
1987,central washington university,,1,,,,
1988,"""elite"" private",,,,,,
1989,middlebury college,,1,,,,
1990,"private, top",,,,,,
1991,top  10,1,1,,,,
1992,"ucla, undergrad",,1,,,,
1993,1st tier private,,,,,,
1994,top private south,,,,,,
1995,larger mid-tier public,,,,,,
1996,uw,,1,,,,
1997,clemson,,1,,,,
1998,public / private,,,,,,
1999,state university (unt),,1,,,,
2000,private/arts,,,,,,
2001,small private 4 year,,,,,,
2002,international (switzerland),,,,,,
2003,top private (catholi,,,,,,
2004,crappy,,,,,,
2005,university of california (4yr),,1,,,,
2006,top 10 ug for engineering,1,1,,,,
2007,smu,,1,,,,
2008,tier 1 liberal arts,,,,,,
2009,us military academy,,1,,,,
2010,cal state univ.,,1,,,,
2011,university of california - irv,,1,,,,
2012,indiana university of pennsylv,,1,,,,
2013,nowhere u,,,,,,
2014,public (osu),,1,,,,
2015,minnesota state university,,1,,,,
2016,university of north dakota,,1,,,,
2017,u. hawaii,,1,,,,
2018,public - mid range,,,,,,
2019,ohio u,,1,,,,
2020,queens college,,1,,,,
2021,middle tennessee state univers,,1,,,,
2022,sam houston state university,,1,,,,
2023,avila university,,1,,,,
2024,"small, private liberal arts (u",,,,,,
2025,public uni,,,,,,
2026,major state university,,,,,,
2027,top 10-northwestern,,1,,,,
2028,pitt,,1,,,,
2029,pomona college,,1,,,,
2030,big public ug,,,,,,
2031,private se,,,,,,
2032,top ten private,1,1,,,,
2033,villanova,,1,,,,
2034,university of washin,,1,,,,
2035,utep,,1,,,,
2036,public small,,,,,,
2037,large private univer,,,,,,
2038,tier-1 lac,,,,,,
2039,highly ranked private universi,,,,,,
2040,tier 1 public school,,,,,,
2041,ttt state school,,,,,,
2042,university of north carolina a,,1,,,,
2043,usnwr-top 20 university,1,1,,,,
2044,florida institute of technolog,,1,,,,
2045,colgate university,,1,,,,
2046,larger state school,,,,,,
2047,st. john&#39;s univ,,1,,,,
2048,the university of texas,,1,,,,
2049,top 50 - liberal arts,1,1,,,,
2050,u of notre dame,,1,,,,
2051,private (jesuit),,,,,,
2052,peking university,,,,,,
2053,b.s,,,,,,
2054,top five public,1,1,,,,
2055,southern conn state university,,1,,,,
2056,commerce business administrati,,,,,,
2057,public large,,,,,,
2058,u.g.,,,,,,
2059,tamuct,,1,,,,
2060,small/private/liberal arts,,,,,,
2061,ucd,,1,,,,
2062,lac top 5,1,1,,,,
2063,public uc,,1,,,,
2064,virginia commonwealth universi,,1,,,,
2065,public 4-yr,,,,,,
2066,ubc,,,,,,
2067,bay path college,,1,,,,
2068,illinois state university,,1,,,,
2069,large public - top 25,1,1,,,,
2070,hypsm,,1,,,,
2071,large national public universi,,,,,,
2072,"top private, non-ivy",1,1,,,,
2073,large-public,,,,,,
2074,"suny \""honors college\""",,1,,,,
2075,univ. of tx at austi,,1,,,,
2076,sciences po,,,,,,
2077,~50 lac,1,1,,,,
2078,"private, catholic, a",,,,,,
2079,queens u ontario,,,,,,
2080,okay but not great p,,,,,,
2081,public (uc-davis),,1,,,,
2082,artsy-fartsy liberal arts,,,,,,
2083,grande public,,,,,,
2084,uconn,,1,,,,
2085,saint john's university,,1,,,,
2086,sfa,,,,,,
2087,the catholic university of ame,,1,,,,
2088,large public research universi,,,,,,
2089,south alabama,,1,,,,
2090,pac10,,,,1,,
2091,university of california- sant,,1,,,,
2092,kenyon college,,1,,,,
2093,top public- michigan,,1,,,,
2094,"private (\""new ivy\"")",,,,,,
2095,public (canada),,,,,,
2096,top 10 public georgia tech,,1,,,,
2097,drexel university (private top,,1,,,,
2098,large urban research,,,,,,
2099,liberal arts (furman),,1,,,,
2100,ivy league (hyp),,1,,,,
2101,secondary,,,,,,
2102,w&m,,1,,,,
2103,clemson university,,1,,,,
2104,gw,,1,,,,
2105,haverford college,,1,,,,
2106,mid-tier public,,,,,,
2107,"private, jesuit",,,,,,
2108,top ug business,,,,,,
2109,udelaware,,1,,,,
2110,4 year public,,,,,,
2111,business/private,,,,,,
2112,small private school,,,,,,
2113,us news first tier,,,,,,
2114,pri vate,,,,,,
2115,overseas branch of a,,,,,,
2116,fairleigh dickinson university,,1,,,,
2117,top public: university of dela,,1,,,,
2118,"private, top 30",1,1,,,,
2119,gordon college,,1,,,,
2120,top 4,1,1,,,,
2121,t15 liberal arts,1,1,,,,
2122,private / public,,,,,,
2123,women&#39;s college,1,1,,,,
2124,large uc,,1,,,,
2125,mercer university,,1,,,,
2126,private - international,,,,,,
2127,"small, private college.",,,,,,
2128,public - ucla,,1,,,,
2129,private - top 5,1,1,,,,
2130,private - upstate ny,,,,,,
2131,elite ivy,1,1,,,,
2132,"top 10, private",1,1,,,,
2133,"top public, engineer",,,,,,
2134,top 2 public,1,1,,,,
2135,"private, midwest",,,,,,
2136,uc (public),,1,,,,
2137,oregon state,,1,,,,
2138,dc/tier 1,,,,,,
2139,university of minnesota,,1,,,,
2140,top 20 public school,1,1,,,,
2141,top-tier canadian (p,,,,,,
2142,top-tier liberal arts,,,,,,
2143,private small,,,,,,
2144,private research,,,,,,
2145,"large public, u of u",,1,,,,
2146,georgetown (sfs),,1,,,,
2147,public (ucsd),,1,,,,
2148,san jose state,,1,,,,
2149,wcsu,,1,,,,
2150,chapman university,,1,,,,
2151,suny public,,1,,,,
2152,uc santa barbara - large publi,,1,,,,
2153,"mid-sized, canadian",,,,,,
2154,u of houston- main campus,,1,,,,
2155,soka university of america,,1,,,,
2156,big 10 state univers,,,1,,,
2157,foreign law school,,,,,,
2158,appalachian state university,,1,,,,
2159,florida state unv,,1,,,,
2160,south texas school of law,,1,,,,
2161,ivy rejects,,,,,,
2162,ugrad,,,,,,
2163,ashford,,1,,,,
2164,top public (engineer,,,,,,
2165,large provincial university,,,,,,
2166,wayland baptist university,,1,,,,
2167,wvu and asu,,1,,,,
2168,cuny brooklyn,,1,,,,
2169,ull,,1,,,,
2170,university of west f,,1,,,,
2171,smith,,1,,,,
2172,university of north carolina,,1,,,,
2173,sort of public,,,,,,
2174,good liberal arts college,,,,,,
2175,eastern wash. univ.,,1,,,,
2176,university of hong kong,,,,,,
2177,"large, private institution",,,,,,
2178,t25 public,1,1,,,,
2179,"private, religious",,,,,,
2180,public /state,,,,,,
2181,usc-beaufort,,1,,,,
2182,private/top 25,1,1,,,,
2183,cali state school,,1,,,,
2184,top 60,1,1,,,,
2185,u of a,,1,,,,
2186,u. of washington,,1,,,,
2187,james madison,,1,,,,
2188,private ny liberal arts univer,,,,,,
2189,washburn,,1,,,,
2190,large u,,,,,,
2191,top catholic,,,,,,
2192,top 20 (uswnr),1,1,,,,
2193,t-20,1,1,,,,
2194,miss. state univ.,,1,,,,
2195,private women&#39;s,1,1,,,,
2196,grad,,,,,,
2197,national university (top 30's),1,1,,,,
2198,architecture & urban studies,,,,,,
2199,research (large public),,,,,,
2200,university of illinois at urba,,1,,,,
2201,large/public,,,,,,
2202,top ranked private liberal art,,,,,,
2203,top business,,,,,,
2204,uwf,,1,,,,
2205,the george washington universi,,1,,,,
2206,butler university,,1,,,,
2207,"private, pac 10",,,,1,,
2208,top public liberal arts,,,,,,
2209,california uc,,1,,,,
2210,canadian public university,,,,,,
2211,top 10 school,1,1,,,,
2212,davis and elkins college,,1,,,,
2213,major nasty public,,,,,,
2214,public/private,,,,,,
2215,libreral arts,,,,,,
2216,nevada,,1,,,,
2217,naval academy,,1,,,,
2218,the king's college,,1,,,,
2219,state/private/war college,,,,,,
2220,bates college,,1,,,,
2221,private (uswnr top 10),1,1,,,,
2222,small private college,,,,,,
2223,t100,1,1,,,,
2224,public - florida state u.,,1,,,,
2225,oklahoma christian university,,1,,,,
2226,suny at buffalo,,1,,,,
2227,university of s. florida,,1,,,,
2228,virginia commonwealth uni,,1,,,,
2229,liberal arts public,,,,,,
2230,top 10 public university,1,1,,,,
2231,division 1 public,,,,,,
2232,top 12 national university,1,1,,,,
2233,private (liberal arts),,,,,,
2234,canadian - top schoo,,,,,,
2235,"public, top 30 - ucla",,1,,,,
2236,utk,,1,,,,
2237,"private catholic, internationa",,,,,,
2238,depaul,,1,,,,
2239,cal poly slo,,1,,,,
2240,private--top 10,1,1,,,,
2241,univ. of alabama,,1,,,,
2242,fancy-pants private,,,,,,
2243,wustl,,1,,,,
2244,amherst college &#39,,1,,,,
2245,libartcoll,,,,,,
2246,byuh,,1,,,,
2247,whitman,,1,,,,
2248,florida atlantic,,1,,,,
2249,the university of georgia,,1,,,,
2250,large cal state,,,,,,
2251,private baptist,,,,,,
2252,public university-not in t100,,,,,,
2253,ohio university (undergraduate,,1,,,,
2254,devry,,1,,,,
2255,"private, then large public",,,,,,
2256,large online university,,,,,,
2257,private (catholic),,,,,,
2258,private/top regional engineeri,,,,,,
2259,top 4 ivy,1,1,,,,
2260,public/state affiliated,,,,,,
2261,alderson broaddus university,,1,,,,
2262,private top10,1,1,,,,
2263,thomas aquinas college,,1,,,,
2264,dc school,,,,,,
2265,top small public,,,,,,
2266,utica,,1,,,,
2267,bad private,,,,,,
2268,public/big ten,,,1,,,
2269,adult distance u.,,,,,,
2270,community college,,,,,,
2271,ufv,,1,,,,
2272,non-elite public university,,,,,,
2273,t2 state,,,,,,
2274,public (u of wi-superior),,,,,,
2275,private tier 2,,,,,,
2276,lsus (regional state),,1,,,,
2277,undergrad - kenyon c,,1,,,,
2278,catholic ug,,,,,,
2279,emory univ.,,1,,,,
2280,u. chicago,,1,,,,
2281,"public, lg",,,,,,
2282,st. joseph college,,1,,,,
2283,"private, byu",,1,,,,
2284,top five liberal arts,1,1,,,,
2285,uprrp,,,,,,
2286,rutgers (new brunswick),,1,,,,
2287,top city university,,,,,,
2288,major undergraduate university,,,,,,
2289,georgia tech,,1,,,,
2290,temple,,1,,,,
2291,"westminster college, private",,1,,,,
2292,good liberal arts,,,,,,
2293,villanova university,,1,,,,
2294,baylor,,1,,,,
2295,top 10 national private,1,1,,,,
2296,poly scii,,,,,,
2297,brockport,,1,,,,
2298,private - top 10,1,1,,,,
2299,california university of penns,,1,,,,
2300,private urban,,,,,,
2301,catholic private,,,,,,
2302,private ug,,,,,,
2303,large public (ug) small privat,,,,,,
2304,liberal arts (ugh...),,,,,,
2305,private - tier 1,,,,,,
2306,fairmont state,,1,,,,
2307,boston universtiy,,1,,,,
2308,city university of new york,,1,,,,
2309,#8 public (ucsd),,1,,,,
2310,top 15 business school,,1,,,,
2311,eiu,,,,,,
2312,2005 nat&#39;l champ,,1,,,,
2313,williams college,,1,,,,
2314,"top 20, non ivy",1,1,,,,
2315,state university of new york a,,1,,,,
2316,private- top 40,1,1,,,,
2317,public 4 year,,,,,,
2318,rural university,,,,,,
2319,professional,,,,,,
2320,large va state (not uva.),,,,,,
2321,liberal science,,,,,,
2322,mid-size christian,,,,,,
2323,top 20 usn&wr,1,1,,,,
2324,monmouth university,,1,,,,
2325,strong public (uf),,1,,,,
2326,top engineering scho,,,,,,
2327,top 5 regional,1,1,,,,
2328,pace university,,1,,,,
2329,public/auburn,,1,,,,
2330,just a regular everyday normal,,,,,,
2331,top liberal arts col,,,,,,
2332,big 10 private,,,1,,,
2333,u of colorado boulder,,1,,,,
2334,university of colorado denver,,1,,,,
2335,franklin university,,1,,,,
2336,university of richmond,,1,,,,
2337,slippery rock u.,,1,,,,
2338,t-5 private,1,1,,,,
2339,cornell - arts,,1,,,,
2340,georgia southern,,1,,,,
2341,u of phoenix online,,1,,,,
2342,austin peay state university,,1,,,,
2343,usnews top25,1,1,,,,
2344,"small, liberal arts university",,,,,,
2345,"midwestern private,",,,,,,
2346,top rated public,,,,,,
2347,university of virgina,,1,,,,
2348,third tier large public,,,,,,
2349,:(,,,,,,
2350,southern methodist university,,1,,,,
2351,top 40 university,1,1,,,,
2352,uc...,,1,,,,
2353,private div. 1,,,,,,
2354,private mid-tier,,,,,,
2355,private - t10,1,1,,,,
2356,#1 in the world-ucla,,1,,,,
2357,tier 1 - doctoral un,,,,,,
2358,top 30 national,1,1,,,,
2359,nu,,1,,,,
2360,fl public uni,,,,,,
2361,private/ top 25,1,1,,,,
2362,top 10 college/university,1,1,,,,
2363,t50 regional,1,1,,,,
2364,private- top 20,1,1,,,,
2365,boring religious college,,,,,,
2366,top public/big10,,,1,,,
2367,t20 liberal arts,1,1,,,,
2368,top non-ivy private,1,1,,,,
2369,selective top 15 liberal arts,1,1,,,,
2370,colby,,1,,,,
2371,unt - denton,,1,,,,
2372,decent liberal arts,,,,,,
2373,george washington univ.,,1,,,,
2374,west coast ivy,,,,,,
2375,ashland university,,1,,,,
2376,publin,,,,,,
2377,public / community c,,,,,,
2378,swarthmore college,,1,,,,
2379,third tier,,,,,,
2380,reigonal univ.,,,,,,
2381,seoul univ,,,,,,
2382,small catholic liber,,,,,,
2383,top 35 university,1,1,,,,
2384,"large, state university",,,,,,
2385,state honors college,,,,,,
2386,mnsu,,1,,,,
2387,elon,,1,,,,
2388,lewis university,,1,,,,
2389,byu-i,,1,,,,
2390,top  50,1,1,,,,
2391,penn state shc,,1,,,,
2392,"catholic, liberal arts",,,,,,
2393,east stroudsburg university,,1,,,,
2394,single-sex lac,,,,,,
2395,private religious liberal arts,,,,,,
2396,private - new york u,,1,,,,
2397,"top 25, public (ucla)",,1,,,,
2398,academic powerhouse :d,,,,,,
2399,"state, large",,,,,,
2400,ca private,,,,,,
2401,"private, small liberal arts",,,,,,
2402,depauw c/o 2003,,1,,,,
2403,bucknell-bachelor of arts,,1,,,,
2404,faber college,,1,,,,
2405,small la,,,,,,
2406,cal state long beach,,1,,,,
2407,university of south alabama,,1,,,,
2408,mid-size public university,,,,,,
2409,private top 10 liber,1,1,,,,
2410,public - medium size,,,,,,
2411,wayne state,,1,,,,
2412,university of arizon,,1,,,,
2413,state/4th tier,,,,,,
2414,ivy - not hyp,1,1,,,,
2415,top 75 private,1,1,,,,
2416,temple univ,,1,,,,
2417,p/t,,,,,,
2418,university of hawaii hilo,,1,,,,
2419,top in taiwan,,,,,,
2420,bad,,,,,,
2421,"california state university, c",,1,,,,
2422,neumann university,,1,,,,
2423,boston u,,1,,,,
2424,very large state-arizona state,,1,,,,
2425,top 15 regional,1,1,,,,
2426,gcu,,1,,,,
2427,"liberal arts,  state school",,,,,,
2428,undergrad and grad,,,,,,
2429,"public, top 50",1,1,,,,
2430,university delaware,,1,,,,
2431,basketball-playing public,,,,,,
2432,private & public,,,,,,
2433,florida a&m universi,,1,,,,
2434,"private, top ten",1,1,,,,
2435,ivy league continuing ed,,,,,,
2436,oglethorpe university,,,,,,
2437,illinois wesleyan university,,1,,,,
2438,top 100 - private,1,1,,,,
2439,uc- large public,,1,,,,
2440,youngstown state,,1,,,,
2441,private business school,,,,,,
2442,umd,,1,,,,
2443,cornell uni,,1,,,,
2444,"private, top 25 nationally",1,1,,,,
2445,graduate school - fiu,,1,,,,
2446,large public univ.,,,,,,
2447,meh,,,,,,
2448,pc,,,,,,
2449,georgia state univer,,1,,,,
2450,universtity,,,,,,
2451,syracuse,,1,,,,
2452,univ. of oregon,,1,,,,
2453,top 10 private liber,1,1,,,,
2454,private-usiu,,1,,,,
2455,uc berkelet,,1,,,,
2456,bottom of the barrel public,,,,,,
2457,top 50 undergraduate,1,1,,,,
2458,bryn mawr college,,1,,,,
2459,public- very selective,,,,,,
2460,virtually unheard of,,,,,,
2461,middle tn state university,,1,,,,
2462,"international, public",,,,,,
2463,liberal arts (private),,,,,,
2464,fine arts,,,,,,
2465,big fancy one,,,,,,
2466,mount holyoke college,,1,,,,
2467,sonoma state univers,,1,,,,
2468,depauw,,1,,,,
2469,christopher newport university,,1,,,,
2470,college of saint elizabeth,,1,,,,
2471,top 10 uni in china,,,,,,
2472,ft or pt,,,,,,
2473,centre college,,,,,,
2474,large private (top 30),1,1,,,,
2475,"dbcchypp, aka ivy le",,,,,,
2476,private specialty arts college,,,,,,
2477,large regional,,,,,,
2478,acc school,,,,,,
2479,georgia state unv,,1,,,,
2480,"private, lib arts",,,,,,
2481,midwest,,,,,,
2482,mid-level public,,,,,,
2483,science,,,,,,
2484,top-20,1,1,,,,
2485,top private national,,,,,,
2486,univ. of michigan,,1,,,,
2487,private top fifty,1,1,,,,
2488,top 40 undergrad,1,1,,,,
2489,public/undergraduate,,,,,,
2490,foreign university,,,,,,
2491,stonybrook university,,1,,,,
2492,national research university,,,,,,
2493,30,,,,,,
2494,mississippi state,,1,,,,
2495,private undergraduate,,,,,,
2496,public - top 50,1,1,,,,
2497,gdufs,,,,,,
2498,"public, tier 3 (u.s.news)",,,,,,
2499,4-year private,,,,,,
2500,top 5 ivy,1,1,,,,
2501,bellevue university,,1,,,,
2502,"private, christian,",,,,,,
2503,top 20 liberal arts college,1,1,,,,
2504,public- asu,,1,,,,
2505,clarion university,,1,,,,
2506,stony brook univ,,1,,,,
2507,university of phx,,1,,,,
2508,big and pretentious,,,,,,
2509,the university of toledo,,1,,,,
2510,hampton univ.,,1,,,,
2511,historically black college,,,,,,1
2512,4-year public school,,,,,,
2513,overseas engineering college,,,,,,
2514,small state u,,,,,,
2515,georgia institute of technolog,,1,,,,
2516,u. of pittsburgh,,1,,,,
2517,university at buffalo,,1,,,,
2518,state university of new york,,1,,,,
2519,university of wyoming,,1,,,,
2520,rollins college,,1,,,,
2521,cuny (baruch),,1,,,,
2522,millsaps college,,1,,,,
2523,saint peter's college,,1,,,,
2524,small wi state school,,,,,,
2525,illinois,,1,,,,
2526,univ. of penn,,1,,,,
2527,undergraduate at state school,,,,,,
2528,other,,,,,,
2529,top non-ivy,1,1,,,,
2530,public; state university,,,,,,
2531,george mason univers,,1,,,,
2532,4-ya liberal arts,,,,,,
2533,cal lutheran university,,1,,,,
2534,yale university,,1,,,,
2535,dominican college,,1,,,,
2536,thatch hut,,,,,,
2537,top 24 public,1,1,,,,
2538,iupui (top 200 national univ),,1,,,,
2539,medical,,,,,,
2540,gcsu,,1,,,,
2541,usma,,1,,,,
2542,bowling green state,,1,,,,
2543,large public-unc,,1,,,,
2544,public-tier 1,,,,,,
2545,cal state fullerton,,1,,,,
2546,"liberal arts, top 40",1,1,,,,
2547,"private liberal arts, all wome",,,,,,
2548,"private, women\'s",,,,,,
2549,winston-salem state university,,1,,,,
2550,"small private, liberal arts",,,,,,
2551,"public, top 20",1,1,,,,
2552,ivy-ish,,,,,,
2553,york university,,,,,,
2554,ursinus,,1,,,,
2555,bigten,,,1,,,
2556,sac state,,,,,,
2557,private (top 25),1,1,,,,
2558,"public, university of michigan",,1,,,,
2559,u of alabama,,1,,,,
2560,t20 private,1,1,,,,
2561,top 100 la,1,1,,,,
2562,research 1,,,,,,
2563,baruch cuny,,1,,,,
2564,public hbcu,,,,,,1
2565,western state colorado univers,,1,,,,
2566,sunyit,,1,,,,
2567,ttu,,1,,,,
2568,harvard/yale/princeton,,1,,,,
2569,literal ttt,,,,,,
2570,private top 15,1,1,,,,
2571,makes mom proud,,,,,,
2572,very small religious college,,,,,,
2573,washington,,1,,,,
2574,ug - public,,1,,,,
2575,private methodist,,,,,,
2576,large - public,,,,,,
2577,u of utah,,1,,,,
2578,byu (private),,1,,,,
2579,university of illinois-urbana/,,1,,,,
2580,internaitional,,,,,,
2581,tamucc,,1,,,,
2582,top ivy,,1,,,,
2583,top 40/private,1,1,,,,
2584,university of mn,,1,,,,
2585,"\""little ivy\""",,,,,,
2586,4th tier national university,,,,,,
2587,"t-30, small, public",1,1,,,,
2588,texas a&m university-commerce,,1,,,,
2589,major state school in oklahoma,,1,,,,
2590,large-private,,,,,,
2591,single-sex private,,,,,,
2592,four-year public university,,,,,,
2593,univ. of sc,,1,,,,
2594,elite private school,,,,,,
2595,non-ivy top private,,1,,,,
2596,state tttt,,,,,,
2597,samford u,,1,,,,
2598,russian university,,,,,,
2599,top-20 national,1,1,,,,
2600,private (small competitive),,,,,,
2601,private t25,1,1,,,,
2602,large party,,,,,,
2603,national public univ,,,,,,
2604,top 10 private univ.,1,1,,,,
2605,nat&#39;l university,1,1,,,,
2606,mid-sized state,,,,,,
2607,public (tier 1),,,,,,
2608,siue,,1,,,,
2609,u.c.f.,,1,,,,
2610,rhode island college,,1,,,,
2611,public & private,,,,,,
2612,mid-size public,,,,,,
2613,public - ok,,1,,,,
2614,tier 1/private,,,,,,
2615,umass dartmouth,,1,,,,
2616,university of tennessee knoxvi,,1,,,,
2617,walden,,1,,,,
2618,truman state university,,1,,,,
2619,t14 hopefully...,1,1,,,,
2620,usna,,1,,,,
2621,public university - 02 grad,,,,,,
2622,4year liberal arts,,,,,,
2623,"top 25, small liberal arts",1,1,,,,
2624,u of mich.,,1,,,,
2625,merrimack college,,1,,,,
2626,top three liberal ar,1,1,,,,
2627,public -,,,,,,
2628,aquinas,,1,,,,
2629,best of the west,1,1,,,,
2630,military academy and small pvt,,1,,,,
2631,university of pittsburgh at br,,1,,,,
2632,(top private) wustl,,1,,,,
2633,large private urban,,,,,,
2634,four-year public,,,,,,
2635,top 100/public,1,1,,,,
2636,research,,,,,,
2637,ne top tier liberal arts,,,,,,
2638,public (cuny),,1,,,,
2639,oklahoma state u,,1,,,,
2640,western carolina university,,1,,,,
2641,universidad de puerto rico en,,1,,,,
2642,wc ivy,,,,,,
2643,local,,,,,,
2644,public (hbcu),,,,,,1
2645,columbia college,,1,,,,
2646,top 50 public university,1,1,,,,
2647,wellesley,,1,,,,
2648,in state,,,,,,
2649,small midwestern,,,,,,
2650,morehouse college,,1,,,,
2651,large public - research,,,,,,
2652,"public ivy, top 50 nationally",1,1,,,,
2653,eastern michigan,,1,,,,
2654,the university of texas in the,,1,,,,
2655,top-15 liberal arts college,1,1,,,,
2656,horrible,,,,,,
2657,ttt ivy,1,1,,,,
2658,top 150,1,1,,,,
2659,top 10 public research univers,1,1,,,,
2660,nyu (private),,1,,,,
2661,"university of california, sc",,1,,,,
2662,oberlin college,,1,,,,
2663,miami (oh),,1,,,,
2664,colby-sawyer college,,1,,,,
2665,big and public,,,,,,
2666,top small liberal ar,,,,,,
2667,top 50 liberal,1,1,,,,
2668,mich st. (msu),,1,,,,
2669,federal academy,,1,,,,
2670,univesity,,,,,,
2671,the university of texas at arl,,1,,,,
2672,ivy (columbia),,1,,,,
2673,small public liberal,,,,,,
2674,institution,,,,,,
2675,top liberal arts school,,,,,,
2676,"california state university, n",,1,,,,
2677,online college,,,,,,
2678,minnesota state univ,,1,,,,
2679,university of tn,,1,,,,
2680,private-top 50,1,1,,,,
