,College Name or Type,guess,name,big10,pac,sisters,hbcu
384,top 10 lib arts,1,1,,,,
385,depaul university,,1,,,,
386,university of arkansas,,1,,,,
387,private top 50,1,1,,,,
388,binghamton university,,1,,,,
389,private/ivy,1,1,,,,
390,graduate,,,,,,
391,top 25 private (hint: dc),1,1,,,,
392,east carolina university,,1,,,,
393,university of san diego,,1,,,,
394,georgetown,,1,,,,
395,michigan,,1,,,,
396,university of illinois at chic,,1,,,,
397,cal poly,,1,,,,
398,linfield college,,1,,,,
399,top tier university,,,,,,
400,berkeley college,,1,,,,
401,public (mediocre),,,,,,
402,st. bonaventure,,,,,,
403,public/flagship,,,,,,
404,university of windsor,,1,,,,
405,large public top 50,1,1,,,,
406,private university,,,,,,
407,florida state,,1,,,,
408,liberty university,,,,,,
409,mix,,,,,,
410,hofstra,,1,,,,
411,top teir small priva,,,,,,
412,uri,,1,,,,
413,"public, large",,,,,,
414,university of illinois,,1,,,,
415,public top 5,1,1,,,,
416,univ. of maryland,,1,,,,
417,fordham university,,1,,,,
418,university of hawaii,,1,,,,
419,"private, top 20",1,1,,,,
420,semi-prestigious state,,,,,,
421,indiana university-south bend,,1,,,,
422,western carolina,,1,,,,
423,private t20,1,1,,,,
424,large private school,,,,,,
425,uc public,1,1,,,,
426,top n.e. private,,,,,,
427,college of liberal arts,,,,,,
428,prestigious,,,,,,
429,u of chicago,,1,,,,
430,old,,,,,,
431,top 40 public,1,1,,,,
432,seven sisters,,,,,1,
433,t2,,,,,,
434,"univerity of california, berke",,1,,,,
435,winthrop university,,1,,,,
436,cal state,,1,,,,
437,internatinal,,,,,,
438,cal state channel islands,,1,,,,
439,medium sized pvt. la,,,,,,
440,university of notre dame,,1,,,,
441,t-50 private,1,1,,,,
442,rutgers,,1,,,,
443,top public university,,,,,,
444,school of foreign service (geo,,1,,,,
445,grad school,,,,,,
446,rutgers university,,1,,,,
447,small,,,,,,
448,university of alabama,,1,,,,
449,"t-5 pub. (ba), tier3 pub. (ma)",1,1,,,,
450,top foreign,,,,,,
451,university of new mexico,,1,,,,
452,southern university,,1,,,,
453,nothing special,,,,,,
454,top 10 comp sci,1,1,,,,
455,public - tier 1,,,,,,
456,umn tc,,1,,,,
457,huge,,,,,,
458,public-liberal arts,,,,,,
459,small and old,,,,,,
460,top 4 private,1,1,,,,
461,tennessee tech,,1,,,,
462,selective public,,,,,,
463,csueb,,1,,,,
464,unt,,1,,,,
465,large state university,,,,,,
466,"private, top-15",1,1,,,,
467,harvard extension school,,1,,,,
468,public college,,,,,,
469,penn state university,,1,,,,
470,"large,public",,,,,,
471,"university of california, rive",,1,,,,
472,wfu,,1,,,,
473,james madison university,,1,,,,
474,major public university,,,,,,
475,"st. john's college, santa fe",,1,,,,
476,angelo state university,,1,,,,
477,top 25 large liberal arts coll,1,1,,,,
478,u of mn twin cities,,1,,,,
479,small university,,,,,,
480,top 20 priv,1,1,,,,
481,ut dallas,,1,,,,
482,cua,,1,,,,
483,pub,,,,,,
484,suny purchase,,1,,,,
485,"large, lowly public",,,,,,
486,top private university,,,,,,
487,"private, lac",,,,,,
488,"small, liberal arts",,,,,,
489,san diego state,,1,,,,
490,rockhurst university,,1,,,,
491,tier 3,,,,,,
492,academic,,,,,,
493,northern illinois un,,1,,,,
494,utah state university,,1,,,,
495,university of central florida,,1,,,,
496,"public, stony brook university",,1,,,,
497,liberl arts (top 20),1,1,,,,
498,"harvard (am), cornell-ilr (bs)",,1,,,,
499,"private, top 5",1,1,,,,
500,top 15 public,1,1,,,,
501,top tier liberal art,,,,,,
502,hpy,,1,,,,
503,college of william & mary,,1,,,,
504,the university of texas at aus,,1,,,,
505,austin college,,1,,,,
506,university of missouri,,1,,,,
507,uw madison,,1,,,,
508,university of virginia,,1,,,,
509,"private, liberal art",,,,,,
510,large state univ,,,,,,
511,ivy non-hyp,1,1,,,,
512,private - liberal arts,,,,,,
513,3 tier foreign educated,,,,,,
514,univeristy of arizona,,1,,,,
515,large,,,,,,
516,top 15 business,1,1,,,,
517,private - top 40,1,1,,,,
518,"\""public ivy\""",1,1,,,,
519,undergrad: yeshiva.,,1,,,,
520,4 year private university,,,,,,
521,public/ gsu!,,1,,,,
522,t15,1,1,,,,
523,cornell university,,1,,,,
524,uga terry college of business,,1,,,,
525,private southern,,,,,,
526,british,,,,,,
527,foreign institution,,,,,,
528,western ct state uni,,1,,,,
529,william and mary,,1,,,,
530,bellevue univserstiy,,1,,,,
531,university of california berke,,1,,,,
532,liberal,,,,,,
533,macalester college,,1,,,,
534,private top 40,1,1,,,,
535,uta,,1,,,,
536,4 year liberal arts university,,,,,,
537,large/publice,,,,,,
538,michigan state university,,1,,,,
539,urban,,,,,,
540,private national university,,,,,,
541,amherst,,1,,,,
542,research institution,,,,,,
543,top 15 liberal arts college,1,1,,,,
544,u of wa,,1,,,,
545,nau,,1,,,,
546,union college,,1,,,,
547,public- vt,,1,,,,
548,ucsb,,1,,,,
549,univ. of florida,,1,,,,
550,top 10 small public liberal ar,1,1,,,,
551,"small, private, libe",,,,,,
552,"small, private, unkn",,,,,,
553,tier 1 public,,,,,,
554,top 100,1,1,,,,
555,wayne state university,,1,,,,
556,"top 25, private",1,1,,,,
557,skidmore college,,1,,,,
558,judson college,,1,,,,
559,nyu stern,,1,,,,
560,johns hopkins university,,1,,,,
561,small state school,,,,,,
562,4-yr. public,,,,,,
563,byu,,1,,,,
564,public (tx tech),,1,,,,
565,hated the place,,,,,,
566,us news top 10,1,1,,,,
567,hyp  ivy,,1,,,,
568,national university,,,,,,
569,louisiana state university,,1,,,,
570,"medium, private",,,,,,
571,small business,,,,,,
572,texas chrisitian university,,1,,,,
573,university of cincinnati,,1,,,,
574,university of oregon,,1,,,,
575,northwestern,,1,,,,
576,top 3 public,1,1,,,,
577,top 100 private,1,1,,,,
578,fresno state,,1,,,,
579,inst. of technology,,1,,,,
580,santa clara university,,1,,,,
581,public ug,,,,,,
582,public liberal arts college,,,,,,
583,little 3,,,,,,
584,liberal arts state college,,,,,,
585,the virginia military institut,,1,,,,
586,top 25 private,1,1,,,,
587,american university,,1,,,,
588,university of utah,,1,,,,
589,liberal art,,,,,,
590,unprestigous public,,,,,,
591,university of vermont,,1,,,,
592,fine arts/applied arts,,,,,,
593,4-year public institution,,,,,,
594,university of toronto,,,,,,
595,private top 10,1,1,,,,
596,t-25 private,1,1,,,,
597,university of oklahoma,,1,,,,
598,skidmore,,1,,,,
599,private school,,,,,,
600,university of washington-seatt,,1,,,,
601,etsu,,1,,,,
602,t5,1,1,,,,
603,large public state,,,,,,
604,private-top 10,1,1,,,,
605,4yr university,,,,,,
606,"private, top 35 (university)",1,1,,,,
607,major public,,,,,,
608,case western reserve,,1,,,,
609,4th tier,,,,,,
610,ut,,1,,,,
611,british university,,,,,,
612,mcgill university,,,,,,
613,b.a./m.a. degree,,,,,,
614,john jay college of criminal j,,1,,,,
615,top-tier private,,,,,,
616,loyola university,,1,,,,
617,university of miami,,1,,,,
618,mid-ivy,1,1,,,,
619,rutgers school of engineering,,1,,,,
620,lehigh university,,1,,,,
621,u of m - twin cities,,1,,,,
622,mid-west,,,,,,
623,"private, top 25",1,1,,,,
624,yucky,,,,,,
625,univ. of chicago,,1,,,,
626,regional college,,,,,,
627,florida international universi,,1,,,,
628,college,,,,,,
629,western washington university,,1,,,,
630,university of north georgia,,1,,,,
631,small midwest privat,,,,,,
632,university of houston-clear la,,1,,,,
633,"private, liberal arts",,,,,,
634,"large, urban",,,,,,
635,"top 25, state",1,1,,,,
636,uga,,1,,,,
637,um-flint,,1,,,,
638,private jesuit,,,,,,
639,midwestern stae university,,1,,,,
640,top 15 lac,1,1,,,,
641,all womens,,,,,,
642,small private liberal arts,,,,,,
643,unc chapel hill,,1,,,,
644,university of akron,,1,,,,
645,business school,,,,,,
646,texas state university,,1,,,,
647,big public top 40,1,1,,,,
648,large university,,,,,,
649,distance ed,,,,,,
650,vandy,,1,,,,
651,unc-ch,,1,,,,
652,"large, public",,,,,,
653,webster university,,1,,,,
654,uc santa barbara,,1,,,,
655,private research university,,,,,,
656,penn state universit,,1,,,,
657,no-name liberal arts,,,,,,
658,big-10,,1,1,,,
659,ole miss,,,,,,
660,rensselaer polytechnic institu,,1,,,,
661,private university - top 4 sch,1,1,,,,
662,northeastern state university,,1,,,,
663,michigan state univ.,,1,,,,
664,university of phoenix (online),,1,,,,
665,university of wisconsin-milwau,,1,,,,
666,tier 4,,,,,,
667,u of waterloo,,,,,,
668,university of missouri - colum,,1,,,,
669,pepperdine university,,1,,,,
670,"large, public, urban",,,,,,
671,university of texas at austin,,1,,,,
672,state univ,,,,,,
673,t1 private,,,,,,
674,creighton university,,1,,,,
675,university of central ok,,1,,,,
676,test,,,,,,
677,vanderbilt,,1,,,,
678,bethel university,,1,,,,
679,private religious,,,,,,
680,jacksonville university,,1,,,,
681,university of connecticut,,1,,,,
682,"university of massachusetts, a",,1,,,,
683,national public,,,,,,
684,georgia,,1,,,,
685,university of texas at san ant,,1,,,,
686,university of colorado boulder,,1,,,,
687,ut - austin,,1,,,,
688,privite,,,,,,
689,midwestern university,,1,,,,
690,awesome,,,,,,
691,boise state university,,1,,,,
692,top 5 lac,1,1,,,,
693,technical institute,,1,,,,
694,t-40 university,1,1,,,,
695,ucb,,1,,,,
696,top 30 - public,1,1,,,,
697,national taiwan univ,,,,,,
698,uhd,,1,,,,
699,major university,,,,,,
700,top 40 liberal arts,1,1,,,,
701,3rd tier (ucf),,1,,,,
702,rutgers college,,1,,,,
703,large public state university,,,,,,
704,public lac,,,,,,
705,governors state university,,1,,,,
706,in state public,,,,,,
707,ivy (hyp),,1,,,,
708,house of batiatus,,,,,,
709,penn state,,1,,,,
710,d1 state school in mi,,1,,,,
711,texas state universiy,,1,,,,
712,kent state university,,1,,,,
713,"large public, top tier",,,,,,
714,dartmouth,,1,,,,
715,tufts university,,1,,,,
716,usnwr top 10 private,1,1,,,,
717,public research univ,,,,,,
718,university of wisconsin madiso,,1,,,,
719,small private libart,,,,,,
720,california state sch,,1,,,,
721,brown university,,1,,,,
722,privete,,,,,,
723,university of,,,,,,
724,private regional school,,,,,,
725,"t75, private, lib arts",1,1,,,,
726,southeastern louisiana univers,,1,,,,
727,t3,,,,,,
728,ivy / oxbridge,1,1,,,,
729,u.s. news top 5,1,1,,,,
730,univ. of maryland univ. colleg,,1,,,,
731,private lac,,,,,,
732,top30,1,1,,,,
733,berkeley,,1,,,,
734,colorado state university,,1,,,,
735,us air force academy,,1,,,,
736,"university of tennessee, knoxv",,1,,,,
737,small liberal,,,,,,
738,augustana college,,1,,,,
739,portland state university,,1,,,,
740,top engineering/publ,,,,,,
741,small lib. arts,,,,,,
742,westminster college,,1,,,,
743,top 5 engineering,1,1,,,,
744,private undergrad,,,,,,
745,large nys public,,,,,,
746,jjay (cuny),,1,,,,
747,hampton university,,1,,,,
748,valdosta state univeristy,,1,,,,
749,northeastern,,1,,,,
750,top,,,,,,
751,case western reserve u,,1,,,,
752,"private, top 50",1,1,,,,
753,university of houston,,1,,,,
754,top arts,,,,,,
755,ozarks ivy,,1,,,,
