,index,name,flagship
271,813,trevecca nazarene university,
272,816,trinity international university,
273,819,university of akron,
274,822,university of arkansas little rock,
275,825,university of louisiana lafayette,
276,828,university of louisiana monroe,
277,831,university of maryland eastern shore,
278,834,university of memphis,
279,837,university of missouri st. louis,
280,840,university of nebraska omaha,
281,843,university of nevada las vegas,
282,846,university of new orleans,
283,849,university of north carolina greensboro,
284,852,university of northern colorado,
285,855,university of north texas,
286,858,university of south alabama,
287,861,university of southern mississippi,
288,864,university of texas arlington,
289,867,university of texas el paso,
290,870,university of texas rio grande valley,
291,873,university of texas san antonio,
292,876,university of the cumberlands,
293,879,university of toledo,
294,882,university of west florida,
295,885,university of west georgia,
296,888,university of wisconsin milwaukee,
297,891,valdosta state university,
298,894,wichita state university,
299,897,wright state university,
300,900,alliant international university,
301,903,argosy university,
302,906,california institute of integral studies,
303,909,capella university,
304,912,idaho state university,
305,915,northcentral university,
306,918,trident university international,
307,921,union institute and university,
308,924,university of phoenix,
309,927,walden university,
310,930,wilmington university,
311,0,williams college,
312,3,amherst college,
313,6,bowdoin college,
314,9,swarthmore college,
315,12,wellesley college,
316,15,middlebury college,
317,18,pomona college,
318,21,carleton college,
319,24,claremont mckenna college,
320,27,davidson college,
321,30,washington and lee university,
322,33,colby college,
323,36,colgate university,
324,39,harvey mudd college,
325,42,smith college,
326,45,united states military academy,
327,48,vassar college,
328,51,grinnell college,
329,54,hamilton college,
330,57,haverford college,
331,60,united states naval academy,
332,63,wesleyan university,
333,66,bates college,
334,69,colorado college,
335,72,university of richmond,
336,75,barnard college,
337,78,kenyon college,
338,81,macalester college,
339,84,oberlin college,
340,87,scripps college,
341,90,united states air force academy,
342,93,bryn mawr college,
343,96,bucknell university,
344,99,college of the holy cross,
345,102,pitzer college,
346,105,lafayette college,
347,108,mount holyoke college,
348,111,union college,
349,114,franklin and marshall college,
350,117,soka university of america,
351,120,sewanee university of the south,
352,123,skidmore college,
353,126,whitman college,
354,129,occidental college,
355,132,trinity college,
356,135,bard college,
357,138,centre college,
358,141,connecticut college,
359,144,denison university,
360,147,gettysburg college,
361,150,dickinson college,
362,153,rhodes college,
363,156,depauw university,
364,159,furman university,
365,162,sarah lawrence college,
366,165,st. john's college,
367,168,st. olaf college,
368,171,lawrence university,
369,174,st. lawrence university,
370,177,thomas aquinas college,
371,180,agnes scott college,
372,183,spelman college,
373,186,college of wooster,
374,189,wheaton college,
375,192,hobart and william smith colleges,
376,195,virginia military institute,
377,198,wabash college,
378,204,earlham college,
379,207,university of puget sound,
380,210,hillsdale college,
381,213,illinois wesleyan university,
382,216,knox college,
383,219,muhlenberg college,
384,222,wofford college,
385,225,beloit college,
386,228,hendrix college,
387,231,kalamazoo college,
388,234,lewis & clark college,
389,237,st. john's college,
390,240,wheaton college,
391,243,allegheny college,
392,246,reed college,
393,249,willamette university,
394,252,gustavus adolphus college,
395,255,st. john's university,
396,258,bennington college,
397,261,college of st. benedict,
398,264,cornell college,
399,267,luther college,
400,270,millsaps college,
401,273,transylvania university,
402,276,austin college,
403,279,college of the atlantic,
404,282,ursinus college,
405,285,hampden sydney college,
406,288,southwestern university,
407,291,st. mary's college of maryland,
408,294,washington college,
409,297,westmont college,
410,300,augustana college,
411,303,lake forest college,
412,306,new college of florida,
413,309,ohio wesleyan university,
414,312,st. mary's college,
415,315,hope college,
416,318,juniata college,
417,321,st. anselm college,
418,324,st. michael's college,
419,327,washington and jefferson college,
420,330,stonehill college,
421,333,drew university,
422,336,goucher college,
423,339,hanover college,
424,342,hollins university,
425,345,principia college,
426,348,concordia college moorhead,
427,354,linfield college,
428,357,marlboro college,
429,360,ripon college,
430,363,salem college,
431,366,birmingham southern college,
432,369,coe college,
433,372,presbyterian college,
434,375,grove city college,
435,378,randolph macon college,
436,381,albion college,
437,384,central college,
438,387,eckerd college,
439,390,wartburg college,
440,393,westminster college,
441,396,whittier college,
442,399,mcdaniel college,
443,402,siena college,
444,405,st. norbert college,
445,408,sweet briar college,
446,411,illinois college,
447,414,randolph college,
448,417,roanoke college,
449,420,alma college,
450,423,hiram college,
451,426,susquehanna university,
452,429,university of minnesota morris,
453,432,university of north carolina asheville,
454,435,wesleyan college,
455,438,bard college at simon's rock,
456,441,centenary college of louisiana,
457,444,franklin college,
458,447,georgetown college,
459,450,houghton college,
460,453,lycoming college,
461,456,monmouth college,
462,459,saint vincent college,
463,462,simpson college,
464,465,westminster college,
465,468,william jewell college,
466,471,doane university,
467,474,wittenberg university,
468,477,guilford college,
469,480,morehouse college,
470,483,warren wilson college,
471,486,carthage college,
