,Major element,major guess,social sciences,arts & humanities,business & management,natural sciences,engineering,health professions,other
2333,computer engi,computer engineering,,,,,1,,
2334,minor philosophy,philosophy,1,,,,,,
2335,molecular gastranomy,molecular gastronomy,,,,1,,,
2336,agricultural economcis,economics,,,1,,,,
2337,unrelated,,,,,,,,
2338,intlst min,international studies,,,,,,,
2339,classical st,classical studies,1,,,,,,
2340,minor s,,,,,,,,
2341,language arts,language,1,,,,,,
2342,msw,social work,,,,,,,
2343,classical civilzation,classical civilization studies,1,,,,,,
2344,restaurant,restaurant management,,,1,,,,
2345,basket weaving,,,,,,,,
2346,environmenta,environmental science,,,,1,,,
2347,environmental health,environmental health,,,,,,1,
2348,safet,,,,,,,,
2349,wildlife science,wildlife science,,,,1,,,
2350,publication management,publication management,,,1,,,,
2351,special studies,special studies,,,,,,,1
2352,specialized,,,,,,,,
2353,rhet,rhetoric studies,1,,,,,,
2354,polly sci,political science,,,,,,,
2355,quantitative finance,finance,,,1,,,,
2356,hydrology,hydrology,,,,1,,,
2357,jmc,journalism,1,,,,,,
2358,prelaw polisci,political science,,,,,,,
2359,speech com,communications,1,,,,,,
2360,cjad,journalism,1,,,,,,
2361,industria,industrial engineering,,,,,1,,
2362,health studies,health studies,,,,,,1,
2363,american cultural studies,American culture studies,,,,,,,
2364,a comm,communications,1,,,,,,
2365,social science stuff,social science,,,,,,,
2366,organic chemistry,organic chemistry,,,,1,,,
2367,chem engineer,chemical engineering,,,,,1,,
2368,interdisp,interdisciplinary studies,1,,,,,,
2369,deviance,sociology,,,,,,,
2370,mid east history,middle eastern studies,,,,,,,
2371,mo,,,,,,,,
2372,african ameri,African American studies,,,,,,,
2373,peace studie,peace studies,,,,,,,
2374,accou,accounting,,,1,,,,
2375,public affiars,public affairs,,,,,,,
2376,public comm,communications,1,,,,,,
2377,ecomomics,economics,,,1,,,,
2378,theatr,theatre ,1,,,,,,
2379,humaniites,humanities,1,,,,,,
2380,double social sciences,social science,,,,,,,
2381,opera,operation management,,,1,,,,
2382,roman his,roman history,1,,,,,,
2383,organiza,organizational behavior,,,1,,,,
2384,jazz,music ,1,,,,,,
2385,celtic studies,Celtic studies,1,,,,,,
2386,l security,,,,,,,,
2387,investments,finance,,,1,,,,
2388,american public policy,public policy,,,,,,,
2389,multiple,,,,,,,,
2390,econ dual major,economics,,,1,,,,
2391,national security,national security,,,,,,,
2392,economics bba,economics,,,1,,,,
2393,finance bba,finance,,,1,,,,
2394,legal education,legal studies,,,,,,,
2395,physiological science,physiological science,,,,,,,
2396,conflict,conflict studies,,,,,,,
2397,global pe,global perspectives,,,,,,,
2398,chinese studies,Chinese studies,,,,,,,
2399,histo,history,1,,,,,,
2400,business school,business ,,,1,,,,
2401,prnt jrnlsm,journalism,1,,,,,,
2402,bsn,business,,,1,,,,
2403,operati,operation management,,,1,,,,
2404,leadership s,leadership studies,,,1,,,,
2405,managm,management,,,1,,,,
2406,double in the social sciences,social science,,,,,,,
2407,minor in ph,philosophy,1,,,,,,
