,Major element,major guess,social sciences,arts & humanities,business & management,natural sciences,engineering,health professions,other
965,soft double,soft,,,,,,,
966,bioethics,bioethics,,,,1,,,
967,film studies,film,1,,,,,,
968,health care management,healthcare management,,,,,,1,
969,healthcare administration,healthcare administration,,,,,,1,
970,engineering science,engineering,,,,,1,,
971,psychol,psychology,,,,,,,
972,communicat,communications,1,,,,,,
973,news report,news reporting,1,,,,,,
974,social ecology,social ecology,,,,,,,
975,geogra,geography,,,,,,,
976,voice,,,,,,,,
977,bs counseling,counseling,,,,,,,
978,classical civilizations,classical civilization studies,,,,,,,
979,econ double,economics,,,1,,,,
980,uncommon social science,social science,,,,,,,
981,bus adm,business administration,,,1,,,,
982,hard sci,science,,,,1,,,
983,philosophy joint,Philosophy,1,,,,,,
984,underwater basket weaving,,,,,,,,
985,degrees earned,,,,,,,,
986,international develo,international development studies,,,,,,,
987,mino,,,,,,,,
988,agricultural business manageme,agriculture business management,,,1,,,,
989,international p,international policies,,,,,,,
990,societies,societal studies,,,,,,,
991,fire protection engineering,engineering,,,,,1,,
992,legal poli,legal studies,,,,,,,
993,dramatic art,dramatic art,1,,,,,,
994,broad,,,,,,,,
995,intl economics,economics,,,1,,,,
996,anth,anthropology ,,,,,,,
997,medical laboratory science,medical laboratory science,,,,,,1,
998,bus admi,business administration,,,1,,,,
999,japanese double,Japanese studies,,,,,,,
1000,production,production,1,,,,,,
1001,theatre art,theatre art,1,,,,,,
1002,public r,public relations,,,,,,,
1003,aaa s,arts,1,,,,,,
1004,philosophy law,Philosophy,1,,,,,,
1005,african am,African American studies,,,,,,,
1006,dramatic lit,dramatic literature,1,,,,,,
1007,philosophy double m,Philosophy,1,,,,,,
1008,mid east,middle eastern studies,,,,,,,
1009,bus econ,economics,,,1,,,,
1010,managerial economics,economics,,,1,,,,
1011,minors in en,,,,,,,,
1012,euro history,European history,1,,,,,,
1013,international security,international studies,,,,,,,
1014,confl,conflict studies,,,,,,,
1015,cre,,,,,,,,
1016,minor campaign mngt,campaign management,,,1,,,,
1017,journalism double maj,journalism,1,,,,,,
1018,finan,finance,,,1,,,,
1019,l reltn,international relations,,,,,,,
1020,russ,Russian,1,,,,,,
1021,ag development,agricultural development,,,,,,,
1022,university studies,,,,,,,,
1023,business mi,business management,,,1,,,,
1024,honors history,history,1,,,,,,
1025,music management,music management,,,1,,,,
1026,health information management,health information management,,,,,,1,
1027,gende,gender studies,,,,,,,
1028,criminal justice studies,criminal justice,,,,,,,
1029,journ,journalism,1,,,,,,
1030,legal studies w,legal studies,,,,,,,
1031,m writing,writing,1,,,,,,
1032,d,,,,,,,,
1033,in chemistry,chemistry,,,,1,,,
1034,w sociology m,sociology,,,,,,,
1035,biblical studies,biblical studies,1,,,,,,
1036,information technology,information technology,,,,,1,,
1037,arthist,art history,1,,,,,,
1038,theater bfa,theatre art,1,,,,,,
1039,typical,,,,,,,,
1040,hispanic language,Spanish,1,,,,,,
1041,med tech,medical technician,,,,,,1,
1042,llb,law and business,1,,,,,,
1043,psychology law,psychology,,,,,,,
1044,ecomonmics,economics,,,1,,,,
1045,double major in humanities,humanities ,1,,,,,,
1046,sociol,sociology,,,,,,,
1047,busine,business,,,1,,,,
1048,cultural anthropology,anthropology ,,,,,,,
1049,rederrick,,,,,,,,
1050,polic sci,political science,,,,,,,
1051,phil minor,Philosophy,1,,,,,,
1052,intnatl relations,international relations,,,,,,,
1053,conflict analysis,conflict studies,,,,,,,
1054,resoluti,,,,,,,,
1055,religious,religion studies,1,,,,,,
1056,human resources management,human resource management,,,1,,,,
1057,administrati,administration,,,1,,,,
1058,jurisprudence,,,,,,,,
1059,early childhood educ,early childhood education,,,,,,,
1060,pub admin,public administration,,,,,,,
1061,l affairs,international affairs,,,,,,,
1062,applied biology,biology,,,,1,,,
1063,aperture science,science,,,,1,,,
1064,intelligence operations,intelligence operations,,,,,,,
1065,nonprofit management,nonprofit management,,,1,,,,
1066,latin american studi,Latin American studies,,,,,,,
1067,multinational business operati,international business,,,1,,,,
1068,public admi,public administration,,,,,,,
1069,bfa art history,art history,1,,,,,,
1070,fincnace,finance,,,1,,,,
1071,comm arts,communications,1,,,,,,
1072,org studies,organizational studies,,,,,,,
1073,biopsychology,biopsychology,,,,1,,,
1074,economics pre,economics,,,1,,,,
1075,classical civ,classical civilization studies,,,,,,,
1076,international bba,business administration,,,1,,,,
1077,crimin,criminology,,,,,,,
1078,wgss,gender studies,,,,,,,
1079,'l finance,finance,,,1,,,,
1080,honors marketing,marketing,,,1,,,,
1081,urban affairs,urban affairs,,,,,,,
1082,internstion,,,,,,,,
1083,ma west european studies,western European studies,,,,,,,
1084,diplomatic,diplomatic studies,,,,,,,
1085,preprofessi,,,,,,,,
1086,law political science,political science,,,,,,,
1087,area studies,,,,,,,,
1088,law minor,law,,,,,,,
1089,social sciene,social science,,,,,,,
1090,minor wgs,gender studies,,,,,,,
1091,bs accounting,accounting,,,1,,,,
1092,mass,communications,1,,,,,,
1093,legal communication,communications,,,,,,,
1094,public pol,public policy,,,,,,,
1095,forensic science,forensic science,,,,1,,,
1096,business analytics,statistics,,,1,,,,
1097,noting special,,,,,,,,
1098,near ea,,,,,,,,
1099,stats,statistics,,,1,,,,
1100,chemical biology,chemistry,,,,1,,,
1101,ip,,,,,,,,
1102,intd,interior design,1,,,,,,
1103,minor in writing,writing,1,,,,,,
1104,psychobiology,psychology,,,,,,,
1105,ppl,politics philosophy and law,,,,,,,
1106,critical social thought,critical social studies,,,,,,,
1107,oil,oil,,,,,1,,
1108,gas,gas,,,,,1,,
1109,di,,,,,,,,
1110,aes,engineering,,,,,1,,
1111,sport ma,sports management,,,1,,,,
1112,american lit,American literature,1,,,,,,
1113,homel,homeland security,,,,,,,
1114,security,homeland security,,,,,,,
1115,public saf,public safety ,,,,,,,
1116,two,,,,,,,,
1117,life science,life science,,,,1,,,
1118,double major w,,,,,,,,
1119,ciencias sociales,social science,,,,,,,
1120,special education,special education,,,,,,,
1121,engineering physics,engineering,,,,,1,,
1122,public relation,public relations,,,,,,,
1123,en,English ,1,,,,,,
1124,child studies,child studies,,,,,,,
1125,hst,history,1,,,,,,
1126,cheme,chemistry,,,,1,,,
1127,counseling,counseling,,,,,,,
1128,visual communication design,visual communication design,1,,,,,,
1129,music p,music  ,1,,,,,,
1130,real e,real estate management,,,1,,,,
1131,biomed,biomedical science,,,,1,,,
1132,minor in b,,,,,,,,
1133,minor in ma,,,,,,,,
1134,forensics,forensic science,,,,1,,,
1135,fre,French,1,,,,,,
1136,cmst,communications,1,,,,,,
1137,honors lib arts,liberal arts ,1,,,,,,
1138,ps  econ,economics,,,1,,,,
1139,political science pre,political science,,,,,,,
1140,nuclear physics,nuclear physics,,,,1,,,
1141,manageme,management,,,1,,,,
1142,early childhood education,early childhood education,,,,,,,
1143,hispanic stu,Hispanic studies,,,,,,,
1144,ud marketing gr accounting,marketing,,,1,,,,
1145,informatics,information technology,,,,,1,,
1146,arabc,Arabic,1,,,,,,
1147,public administrati,public administration,,,,,,,
1148,pu,,,,,,,,
1149,gvpt,government,,,,,,,
1150,guy,,,,,,,,
1151,cmns english,communications,1,,,,,,
1152,j,,,,,,,,
1153,mrkt,marketing,,,1,,,,
1154,prof writing,writing,1,,,,,,
1155,summa cum laude,,,,,,,,
1156,applied linguistics,linguistics,1,,,,,,
1157,complit,comparative literature,1,,,,,,
1158,fluff,,,,,,,,
1159,electronic media,electronic media,1,,,,,,
1160,int'l stud,international studies,,,,,,,
1161,russian studies,Russian studies,,,,,,,
1162,enginerd,engineering,,,,,1,,
1163,envir,environmental studies,,,,1,,,
1164,philosophy phd,Philosophy,1,,,,,,
1165,am,,,,,,,,
1166,mechan engin,mechanical engineering,,,,,1,,
1167,cultural,cultural studies,,,,,,,
1168,both liberal arts,liberal arts,1,,,,,,
1169,humanistic studies,humanities ,1,,,,,,
1170,'t,,,,,,,,
1171,specialized studies,,,,,,,,
1172,eecs,electrical engineering,,,,,1,,
1173,graduate level,,,,,,,,
1174,symbolic systems,symbolic systems,1,,,,,,
1175,screen arts,screen arts,1,,,,,,
1176,cultu,cultural studies,,,,,,,
1177,mass com,communications,1,,,,,,
1178,pol comm,policy communication,,,,,,,
1179,construction mgt,construction management,,,1,,,,
1180,wg,gender studies,,,,,,,
1181,family s,family studies,,,,,,,
1182,crime,criminology,,,,,,,
1183,music history,music history,1,,,,,,
1184,entertainment busine,entertainment management,,,1,,,,
1185,biolony,biology,,,,1,,,
1186,social sciences double major,social science,,,,,,,
1187,engl,English ,1,,,,,,
1188,ins,,,,,,,,
1189,huge manities,humanities ,1,,,,,,
1190,social science education,social science education,,,,,,,
1191,dramatic theory,dramatic theory,1,,,,,,
1192,criminal law,criminology,,,,,,,
1193,admin of justice,justice administration,,,,,,,
1194,useless,,,,,,,,
1195,human,,,,,,,,
1196,minor in sp,Spanish,1,,,,,,
1197,internat'l stu,international studies,,,,,,,
1198,envi sci,environmental science,,,,1,,,
1199,'l affairs,international affairs,,,,,,,
1200,metropolitan studies,urban studies,,,,,,,
1201,enl,,,,,,,,
1202,history honours,history,1,,,,,,
1203,technical manag,technical management,,,1,,,,
1204,financial services,finance,,,1,,,,
1205,minor physics,physics,,,,1,,,
1206,minor psych,psychology,,,,,,,
1207,french minor,French,1,,,,,,
1208,'s in criminal justice,criminal justice,,,,,,,
1209,science geek,science,,,,1,,,
1210,medical,medicine,,,,,,1,
1211,greek,Greek,1,,,,,,
1212,decision,,,,,,,,
1213,system sciences,system science,,,,,1,,
1214,japan studies,japan studies,1,,,,,,
1215,cpe,law,,,,,,,
1216,mangement,management,,,1,,,,
1217,political science criminal jus,political science,,,,,,,
1218,polymer,polymer chemistry,,,,1,,,
1219,bs econ,economics,,,1,,,,
1220,ba poli,political science,,,,,,,
1221,telecommunic,telecommunication,1,,,,,,
1222,tasking,,,,,,,,
1223,account,accounting,,,1,,,,
1224,double humanities social scien,humanities and social science,,,,,,,
1225,humanities phil,Philosophy,1,,,,,,
1226,music production,music ,1,,,,,,
1227,engineeri,engineering,,,,,1,,
1228,biomedical eningeering,biomedical engineering,,,,,1,,
1229,intn,international studies,,,,,,,
1230,middle eastern north african s,middle eastern north African studies,,,,,,,
1231,islam,Islamic studies,,,,,,,
1232,latin ameri,Latin American studies,,,,,,,
1233,chemistry mi,chemistry,,,,1,,,
1234,social scien,social science,,,,,,,
1235,l finance,finance,,,1,,,,
1236,diplomacy,diplomatic studies,,,,,,,
1237,laws,law,,,,,,,
1238,bussiness,business,,,1,,,,
1239,addictive beh,addictive behavioral studies,,,,,,1,
1240,secondary english education,secondary education,,,,,,,
1241,emergenc,emergency management,,,,,,,
1242,metropolitan d,urban studies,,,,,,,
1243,german lit,German literature,1,,,,,,
1244,international affa,international affairs,,,,,,,
1245,classical s,classical studies,1,,,,,,
1246,consumer psych,psychology,,,,,,,
1247,general science,science,,,,1,,,
1248,one of the many sciences,science,,,,1,,,
1249,financial management,financial management,,,1,,,,
1250,really serial,,,,,,,,
1251,latinx studies,Latin studies,,,,,,,
1252,medical technology,medical technician,,,,,,1,
1253,aeronautics,aeronautics,,,,,1,,
1254,mil arts,art,1,,,,,,
1255,latin americ,Latin American studies,,,,,,,
1256,english lite,English literature,1,,,,,,
1257,comm min,communications,1,,,,,,
1258,entertainment managem,entertainment management,,,1,,,,
1259,cmn,communications,1,,,,,,
1260,managerial mkt,marketing management,,,1,,,,
1261,ug,,,,,,,,
1262,criminology dual,criminology,,,,,,,
1263,plm,petroleum land management,,,1,,,,
1264,comparative litera,comparative literature,1,,,,,,
1265,cmp sci,computer science,,,,,1,,
1266,computational linguistics,linguistics,1,,,,,,
1267,international political studie,international studies,,,,,,,
1268,consumer,consumer,,,1,,,,
1269,family economics,economics,,,1,,,,
1270,hence law school,law,,,,,,,
1271,masters of social wo,social work,,,,,,,
1272,aerospace engineerin,aerospace engineering,,,,,1,,
1273,restaurant managemen,restaurant management,,,1,,,,
1274,managemen,management,,,1,,,,
1275,unimpressive,,,,,,,,
1276,sounding one,,,,,,,,
1277,baas,applied arts,1,,,,,,
1278,constitutional stud,constitutional studies,,,,,,,
1279,development studies,development studies,,,,,,,
1280,bc,commerce,,,1,,,,
1281,history political science,political science,,,,,,,
1282,computer info systems,computer science,,,,,1,,
1283,pharmacy d,pharmacy,,,,,,1,
1284,spanish do,Spanish,1,,,,,,
1285,afro am studies,African American studies,,,,,,,
1286,law enforcement,law enforcement,,,,,,,
1287,justice ad,justice administration,,,,,,,
1288,relgious studies,religion studies,,,,,,,
1289,minors,,,,,,,,
1290,mkt,marketing,,,1,,,,
1291,concentrat,,,,,,,,
1292,history of science,history,1,,,,,,
1293,justice systems,justice administration,,,,,,,
1294,italian studie,Italian studies,,,,,,,
1295,actually no,,,,,,,,
1296,colonel,,,,,,,,
1297,women s,gender studies,,,,,,,
1298,intelligence studies,intelligence studies,,,,,,,
1299,business admini,business administration,,,1,,,,
1300,aerospace,aerospace engineering,,,,,1,,
1301,mechanical engin,mechanical engineering,,,,,1,,
1302,pyshcology,psychology,,,,,,,
1303,african american,African American studies,,,,,,,
1304,african s,African studies,,,,,,,
1305,biotech,biotechnology,,,,,1,,
1306,polisci spanish,political science,,,,,,,
1307,multi discipline,,,,,,,,
1308,co,,,,,,,,
1309,child,early childhood education,,,,,,,
1310,adolescent studies,adolescent studies,,,,,,,
1311,speech language pathology,speech language pathology,1,,,,,,
1312,african,African studies,,,,,,,
1313,hospitality business,hotel management,,,1,,,,
1314,romance langs,language,1,,,,,,
1315,double in lib,liberal arts,1,,,,,,
1316,s double,,,,,,,,
1317,theatre minor,theatre art,1,,,,,,
1318,american sign language,American sign language,1,,,,,,
1319,lots of math,mathematics,,,,1,,,
1320,scienc,science,,,,1,,,
1321,transportation,transportation management,,,,,1,,
1322,infosys,information systems,,,,,1,,
1323,special major,,,,,,,,
1324,classical letters,classical letters,1,,,,,,
1325,computer information,computer science,,,,,1,,
1326,film school,film,1,,,,,,
1327,stem double major,STEM,,,,,1,,
1328,plant biology,biology,,,,1,,,
1329,education studies,education studies,,,,,,,
1330,public p,public policy,,,,,,,
1331,mgnt,management,,,,,,,
1332,poli sci mass comm,political science,,,,,,,
1333,hebrew letters,Hebrew,1,,,,,,
1334,american politics,political science,,,,,,,
1335,public polic,public affairs,,,,,,,
1336,environm,environmental science,,,,1,,,
1337,business english,business administration,,,1,,,,
1338,supply chain,supply chain management,,,1,,,,
1339,leg,,,,,,,,
1340,ind mgmt,management,,,1,,,,
1341,comparative history of ideas,comparative history,1,,,,,,
1342,bachelor of arts,arts,1,,,,,,
1343,audio engineering,audio engineering,,,,,1,,
1344,german literature an,German literature,1,,,,,,
1345,doctor of pharmacy,pharmacy,,,,,,1,
1346,neur,neuroscience,,,,1,,,
1347,computer pr,computer science,,,,,1,,
1348,leader,leadership,,,1,,,,
1349,biz admin,business administration,,,1,,,,
1350,applied arts,applied arts,1,,,,,,
1351,reading books,,,,,,,,
1352,hotel management,hotel management,,,1,,,,
1353,law studies,law,,,,,,,
1354,ca,,,,,,,,
1355,business pre,business ,,,1,,,,
1356,hospitality administration,hospitality administration,,,1,,,,
1357,christianity,Christian studies,,,,,,,
1358,liberal stud,liberal arts,1,,,,,,
1359,international polit,international studies,,,,,,,
1360,business econ,economics,,,1,,,,
1361,government prelaw,government,,,,,,,
1362,european studies,European studies,,,,,,,
1363,mes,environmental science,,,,1,,,
1364,double major social sciences,social science,,,,,,,
1365,chin,Chinese,1,,,,,,
1366,crim jus,criminology,,,,,,,
1367,intl studie,international studies,,,,,,,
1368,esl,,,,,,,,
1369,real,,,,,,,,
1370,sexuality stud,sexuality studies,,,,,,,
1371,none,,,,,,,,
1372,inter,international studies,,,,,,,
1373,international area studies,international studies,,,,,,,
1374,lol,,,,,,,,
1375,undergrad,,,,,,,,
1376,triple threat,,,,,,,,
1377,strategy,strategy,,,1,,,,
1378,crimjust,criminology,,,,,,,
1379,come on homie we,,,,,,,,
1380,mktg,marketing,,,1,,,,
1381,evolutionary biology,biology,,,,1,,,
1382,business legal studie,business law,,,1,,,,
1383,csj,,,,,,,,
1384,r,,,,,,,,
1385,mathy stuff,mathematics,,,,1,,,
1386,urban environmental studies,urban studies,,,,,,,
1387,energy commerce,commerce,,,1,,,,
1388,bs information technology,information systems,,,,,1,,
1389,bs chemistry,chemistry,,,,1,,,
1390,ba political scie,political science,,,,,,,
1391,germ,German  ,1,,,,,,
1392,manag,management,,,1,,,,
1393,comput,computer science,,,,,1,,
1394,employment rel,employment relations,,,1,,,,
1395,communi,communications,1,,,,,,
1396,political communica,political communication,,,,,,,
1397,pacs,peace and conflict studies,,,,,,,
1398,general,,,,,,,,
1399,weird,,,,,,,,
1400,biodiversity,biodiversity,,,,1,,,
1401,slavic lang,slavic language,1,,,,,,
1402,materials engr,materials engineering,,,,,1,,
1403,a minor,,,,,,,,
1404,'s stu,,,,,,,,
1405,chemical eng,chemical engineering,,,,,1,,
1406,ia,information assurance,,,,,,,1
1407,inf,,,,,,,,
1408,intl studies nd chinese,international studies,,,,,,,
1409,in american culture studi,American culture studies,,,,,,,
1410,pt,,,,,,,,
1411,american stud,American studies,,,,,,,
1412,lots of humanities stuff,humanities,1,,,,,,
1413,soft science,soft science,,,,1,,,
1414,art hist,art history,1,,,,,,
1415,political economics,economics,,,1,,,,
1416,technical communicat,communications,1,,,,,,
1417,recording industry,music,1,,,,,,
1418,sociology criminal justice,sociology,,,,,,,
1419,economics political science,political science,,,,,,,
1420,business ldrs,business management,,,1,,,,
1421,music composition,music,1,,,,,,
1422,bsba risk management,risk management,,,1,,,,
1423,bsba fna,business administration,,,1,,,,
1424,narrative studies,narrative studies,1,,,,,,
1425,dual degree in a,,,,,,,,
1426,intl politics,international politics ,,,,,,,
1427,cjcr,criminology,,,,,,,
1428,hispan,Hispanic studies,,,,,,,
1429,wo,gender studies,,,,,,,
1430,environ,environmental science,,,,1,,,
1431,corporate communications,corporate communications,,,1,,,,
1432,law policy,law,,,,,,,
1433,bba accounting,accounting,,,1,,,,
1434,interdis,,,,,,,,
1435,sports med,kinesiology,,,,,,1,
1436,criminal,criminology,,,,,,,
1437,business ec,business education,,,1,,,,
1438,chem eng,chemical engineering,,,,,1,,
1439,hotel administration,hotel management,,,1,,,,
1440,applied econ,economics,,,1,,,,
1441,international s,international studies,,,,,,,
1442,bmf,business management,,,1,,,,
1443,orgl,organizational leadership,,,,,,,
1444,history double majo,history,1,,,,,,
1445,elementary ed,elementary education,,,,,,,
1446,environmental geography,environmental geography,,,,,,,
1447,recording,recording arts,1,,,,,,
1448,health policy,public health,,,,,,1,
1449,social sci,social science,,,,,,,
1450,public administratio,public administration,,,,,,,
1451,manage,management,,,1,,,,
1452,telecommunications a,telecommunication,,,,,1,,
1453,florida studies,Florida studies,,,,,,,
1454,international devolopment,international development studies,,,,,,,
1455,bs paralegal science,paralegal studies,,,,,,,
1456,english double,English,1,,,,,,
1457,ris,risk management,,,1,,,,
1458,honors econ,economics,,,1,,,,
1459,russian h,Russian studies,,,,,,,
1460,humanistic s,humanistic studies,,,,,,,
1461,econ  other business,economics,,,1,,,,
1462,last,,,,,,,,
1463,public poli,public policy,,,,,,,
1464,medical engineering,medical engineering,,,,,,1,
1465,ant,anthropology,,,,,,,
1466,psycho,psychology,,,,,,,
1467,'l business,international business,,,1,,,,
1468,automotive technology,automotive technology,,,,,1,,
1469,asian language,language,1,,,,,,
1470,international studies comparat,international studies,,,,,,,
1471,cult,culture,,,,,,,
1472,painting,art,1,,,,,,
1473,sociology of law,sociology,,,,,,,
1474,social services,social service,,,,,,,
1475,polymer chemi,polymer chemistry,,,,1,,,
1476,liberal arts stuff,liberal arts,1,,,,,,
1477,psychology  genetics,psychology,,,,,,,
1478,moral ph,philosophy,1,,,,,,
1479,engineering double,engineering,,,,,1,,
1480,gl,,,,,,,,
1481,exercise science,exercise science,,,,,,1,
1482,piano performance,piano performance,1,,,,,,
1483,you know,,,,,,,,
1484,economic theory,economics,,,1,,,,
1485,optical engineering,optical engineering,,,,,1,,
1486,casino resort studies,hospitality administration,,,1,,,,
1487,molecular genetics,molecular genetics,,,,1,,,
1488,hospitaltiy administration,hospitality administration,,,1,,,,
1489,ipe,international political economy,,,,,,,
1490,behavior science,behavior science,,,,,,,
1491,minor in spanish,Spanish,1,,,,,,
1492,information sys,information systems,,,,,1,,
1493,organizational devel,organizational development,,,1,,,,
1494,busn mgmt,business management,,,1,,,,
1495,egr,engineering,,,,,1,,
1496,chem engr,chemical engineering,,,,,1,,
1497,mathemat,mathematics,,,,1,,,
1498,crisis communication,communications,1,,,,,,
1499,spanish lang,Spanish,1,,,,,,
1500,textile,textile  design,1,,,,,,
1501,apparel management,management,,,1,,,,
1502,socialism,,,,,,,,
1503,ba history,history,1,,,,,,
1504,engl minor,English,1,,,,,,
1505,bse in gen,science,,,,1,,,
1506,great texts,,,,,,,,
1507,how corps,,,,,,,,
1508,nations make,,,,,,,,
1509,minor in bu,business,,,1,,,,
1510,fren,French,1,,,,,,
1511,russ studies,Russian studies,,,,,,,
1512,geophysics,geophysics,,,,1,,,
1513,music therapy,music,1,,,,,,
1514,mechanical,mechanical engineering,,,,,1,,
1515,aeronautical en,aeronautical engineering,,,,,1,,
1516,modernduallanguages,modern language,1,,,,,,
1517,political science internationa,political science,,,,,,,
1518,double minor,,,,,,,,
1519,crj,criminology,,,,,,,
1520,pls,political science,,,,,,,
1521,operations management,operations management,,,1,,,,
1522,professional aeronautics,professional aeronautics,,,,,1,,
1523,bioscience,biology,,,,1,,,
1524,double psychology,psychology,,,,,,,
1525,media production,media production,1,,,,,,
1526,environmental,environmental science,,,,1,,,
1527,asia pacific management,management,,,1,,,,
1528,asian amer,Asian American studies,,,,,,,
1529,public safety,public safety ,,,,,,,1
1530,family sci,family science,,,,,,,
1531,foreign lit,foreign literature,1,,,,,,
1532,rmin,risk management,,,1,,,,
1533,environmental economics,environmental economics,,,1,,,,
1534,economics minor in business,economics,,,1,,,,
1535,affairs,public affairs,,,,,,,
1536,history education,history,1,,,,,,
1537,mideast studies,middle eastern studies,,,,,,,
1538,feminist,,,,,,,,
1539,difficult humanities,humanities,1,,,,,,
1540,applied economics,economics,,,1,,,,
1541,interna,business management,,,1,,,,
1542,business man,business management,,,1,,,,
1543,urbanism,urban studies,,,,,,,
1544,latinamerican lit,Latin American literature,1,,,,,,
1545,forei,foreign literature,1,,,,,,
1546,bs elec eng,electrical engineering,,,,,1,,
1547,ba russian,Russian  ,1,,,,,,
1548,intl development studies,international development studies,,,,,,,
1549,mol,,,,,,,,
1550,risk management insurance,risk management,,,1,,,,
1551,reak estate finance,real estate finance,,,1,,,,
1552,talmud,Talmudic studies ,,,,,,,
1553,majo,,,,,,,,
1554,ba cj,criminal justice,,,,,,,
1555,ba psych,psychology,,,,,,,
1556,neurobio,neurobiology,,,,1,,,
1557,polisi,political science,,,,,,,
1558,custom,,,,,,,,
1559,rhetorical studies,rhetoric studies,1,,,,,,
1560,econom,economics,,,1,,,,
1561,comp info sys,computer science,,,,,1,,
1562,law an,law,,,,,,,
1563,double in interdisciplinary hu,humanities,1,,,,,,
1564,independent,,,,,,,,
1565,classics  poly sci,political science,,,,,,,
1566,child sciences,child science,,,,,,,
1567,financial economics,economics,,,1,,,,
1568,ams,atmospheric science,,,,1,,,
1569,chicano studi,Latin studies,,,,,,,
1570,govern,government,,,,,,,
1571,arts administration,arts administration,,,1,,,,
1572,east a,east asian studies,,,,,,,
1573,curatorial stu,cultural studies,,,,,,,
1574,political communications,political communication,,,,,,,
1575,philosoh,philosophy,1,,,,,,
1576,y,,,,,,,,
1577,european history,European history,1,,,,,,
1578,atmospheric science,atmospheric science,,,,1,,,
1579,black studies,black studies,,,,,,,
1580,ms accounting,accounting,,,1,,,,
1581,a href,,,,,,,,
1582,http,,,,,,,,
1583,www,,,,,,,,
1584,aucti,,,,,,,,
1585,unique,,,,,,,,
1586,professional studies,professional studies,,,,,,,
1587,dbl bus,business,,,1,,,,
1588,min,,,,,,,,
1589,american culture,American culture studies,,,,,,,
1590,rh,,,,,,,,
1591,malfunction,,,,,,,,
1592,anthropol,anthropology,,,,,,,
1593,englich,English,1,,,,,,
1594,spanish minor,Spanish,1,,,,,,
1595,legal communications,communications,1,,,,,,
1596,business mang,business management,,,1,,,,
1597,spanish linguistics,Spanish,1,,,,,,
1598,international business with a,international business,,,1,,,,
1599,elec engr,electrical engineering,,,,,1,,
1600,toxicology,toxicology,,,,1,,,
1601,sociology dbl,sociology,,,,,,,
1602,hypothetical basketweaving,,,,,,,,
1603,managment,management,,,1,,,,
1604,bs environmental studies,environmental studies,,,,,,,
1605,family studies,family studies,,,,,,,
1606,child developme,child development,,,,,,,
1607,economcis,economics,,,1,,,,
1608,aeronautical science,aeronautical science,,,,1,,,
1609,two technicals,technicals,,,,,1,,
1610,one liberal,liberal arts,1,,,,,,
1611,comparative,comparative literature,1,,,,,,
1612,ems,economics and management,,,1,,,,
1613,middle eastern studi,middle eastern studies,,,,,,,
1614,international cultural studies,international cultural studies,,,,,,,
1615,double major in criminology an,criminology,,,,,,,
1616,pharmd,pharmacy,,,,,,1,
1617,african studies,African studies,,,,,,,
1618,biz management,business management,,,1,,,,
1619,wm stud,gender studies,,,,,,,
1620,bachelor of music,music,1,,,,,,
1621,anthopol,anthropology,,,,,,,
1622,asian american st,Asian American studies,,,,,,,
1623,interdepartmental,,,,,,,,
1624,double political science,political science,,,,,,,
1625,mmss,mathematics,,,,1,,,
1626,actg,acting,1,,,,,,
1627,commercial law,commercial law,,,,,,,
1628,bs electrical engine,electrical engineering,,,,,1,,
1629,accounting finance,accounting and finance,,,1,,,,
1630,general history,history,1,,,,,,
1631,philosophy  poli sci,political science,,,,,,,
1632,int'l relations,international relations,,,,,,,
1633,md,medicine,,,,,,1,
1634,geological,geology,,,,1,,,
1635,environmental sci,environmental science,,,,1,,,
1636,amer studies,American studies,,,,,,,
1637,comparative religion,comparative religion studies,,,,,,,
1638,internatonal economics,economics,,,1,,,,
1639,engli,English,1,,,,,,
1640,easy,,,,,,,,
1641,mast,,,,,,,,
1642,japanese studies,Japanese studies,,,,,,,
1643,integrative biology,biology,,,,1,,,
1644,administrative management,management,,,1,,,,
1645,digital m,digital media,1,,,,,,
1646,performance,performance arts,1,,,,,,
1647,business jo,business,,,1,,,,
1648,science w,science,,,,1,,,
1649,scie,science,,,,1,,,
1650,bio me,biology,,,,1,,,
1651,not poli sci,,,,,,,,
1652,mathematical economics,economics,,,1,,,,
1653,comms,communications,1,,,,,,
1654,comparative cultures,comparative cultures,,,,,,,
1655,housing,real estate  ,,,1,,,,
1656,consumer economics,economics,,,1,,,,
1657,aviation management,aviation management,,,1,,,,
1658,anthropo,anthropology,,,,,,,
1659,liberal arts double major,liberal arts,1,,,,,,
1660,elec engineerin,electrical engineering,,,,,1,,
1661,christian studies,Christian studies,,,,,,,
1662,pps,political science,,,,,,,
1663,coms,communications,1,,,,,,
1664,environmental econom,environmental economics,,,1,,,,
1665,jlsm,journalism,1,,,,,,
1666,afr,african studies,,,,,,,
1667,development,,,,,,,,
1668,foreign lan,foreign language,1,,,,,,
1669,interpersonal communication st,communications,1,,,,,,
1670,english creative writing,English,1,,,,,,
1671,dual degree ba political theor,political theory,,,,,,,
1672,cl,,,,,,,,
1673,pecn,,,,,,,,
1674,russian studi,Russian studies,,,,,,,
1675,consumer econo,economics,,,1,,,,
1676,interpersonal communications,communications,1,,,,,,
1677,bu,business,,,1,,,,
1678,ibm,international business management,,,1,,,,
1679,hispanic studies,Hispanic studies,,,,,,,
1680,plann,,,,,,,,
1681,comparat,comparative literature,1,,,,,,
1682,theoretical chemistry,chemistry,,,,1,,,
1683,journal,journalism,1,,,,,,
1684,etc,,,,,,,,
