College Name or Type,name_rev
public (unlv),"University of Nevada, Las Vegas"
public (uri),University of Rhode Island
public (utd),University of Texas at Dallas
public (uw-madison),University of wisconsin madison
public (wwu),Western Washington University
public- asu,Arizona State University tempe
public ca state univ.,California State University fullerton
public- ohio state,Ohio State University
public suny,binghamton university suny
public- texas tech,Texas Tech University
public uc,University of California davis
public -uc,University of California davis
public- ucf,University of Central Florida
public university (uf),University of Florida
public- vt,virginia tech
"public, lsu",Louisiana State University
"public, top 30 - ucla",University of California Los Angeles
"public, ucsb",University of California santa barbara
public.. uc baby,University of California davis
public/ gsu!,Georgia State University
public/auburn,Auburn University
public/sdsu,San Diego State University
public: ucla,University of California Los Angeles
public-csu,Colarado State University
public-lsu,Louisiana State University
public-suny,binghamton university suny
public-texas a&m,Texas A&M University college station
public-uc,University of California davis
public--uc,University of California davis
public-ut,University of Texas austin
purdue,purdue university west lafayette
quaker,neutral
qwe,neutral
rabbinical college,Rabbinical College of America
ramapo college,Ramapo College of New Jersey
rcnj,Ramapo College of New Jersey
regional--cal state,California State University fullerton
renselear,Rensselaer Polytechnic Institute
rodeo clown college,bad
rutgers,rutgers university new brunswick
rutgers (large public ivy),rutgers university new brunswick
rutgers coll,rutgers university new brunswick
rutgers college,rutgers university new brunswick
rutgers nb,rutgers university new brunswick
rutgers -nb,rutgers university new brunswick
rutgers pharmacy,rutgers university new brunswick
rutgers school of engineering,rutgers university new brunswick
"rutgers, nb",rutgers university new brunswick
sacramento state,California State University Sacramento
saint joe's,Saint Joseph's University
school of foreign service (geo,Georgetown University
sf conservatory of music,San Francisco Conservatory of Music
sfasu,Stephen F. Austin State University
shippensburg university,Shippensburg University of Pennsylvania
slippery rock u.,Slippery Rock University of Pennsylvania
small liberal arts (siena),Siena College
small liberal arts in nor. ca,neutral
small private (il),neutral
small private (waynesburg univ,Waynesburg University
small private univer,neutral
small public (suny),purchase college suny
"small public, south carolina",University of South Carolina
small suny college,purchase college suny
"small, private (hamline univ)",Hamline University
solid public college ~30,positive
southampton solent university,foreign
southern illinois university -,Southern Illinois University Carbondale
southern university,Southern University and A&M College
southwest texas stat,Texas State University
st. andrews,foreign
st. mary's university,Saint Mary's University
state (ut arlington),University of Texas at Arlington
state school (csu),Colarado State University
state school in nc,North Carolina State University
state university (unlv),"University of Nevada, Las Vegas"
state university of new york,binghamton university suny
state university of new york (,binghamton university suny
state university of new york a,binghamton university suny
stern business school,New York University
strong public (uf),University of Florida
suny - no frills,binghamton university suny
suny - public,binghamton university suny
suny (ny state schoo,binghamton university suny
"suny \""honors college\""",university at albany suny
suny albany,university at albany suny
suny at binghamton university,binghamton university suny
suny brockport,college at brockport suny
suny canton,suny college of technology canton
suny np,Suny new paltz
suny public,binghamton university suny
suny purchase,purchase college suny
suny stony brook,stony brook university suny
suny- stony brook,stony brook university suny
talmudic seminary,United Talmudical Seminary
tamuct,Texas A&M University college station
technical institute,neutral
technical university,neutral
technological instit,neutral
temple univeristy-large publi,Temple University
tennessee tech,Tennessee Technological University
tesc,Thomas Edison State University
texas / chicago,university of texas austin
texas a & m,Texas A&M University college station
texas a&m,Texas A&M University college station
the city college of new york,cuny city college
the cooper union for the advan,Cooper Union
the university of southern cal,University of Southern California
the university of texas at arl,University of Texas at arlington
thomas jefferson,neutral
thomas m. cooley,neutral
tier 3 -uic,University of Illinois at Chicago
top 10 public (ucsd),"University of California, San Diego"
top 10 public georgia tech,Georgia Institute of Technology
top 10 public university (uc),University of California berkeley
top 15 business school,university of virginia
top 25 - usc,University of Southern California
"top 25, public (ucla)",University of California Los Angeles
top 50 - santa barba,"University of California, Santa Barbara"
top 50 ugrad,neutral
"top 50, public (uc i",University of California irvine
top ca public,"University of California, Berkeley"
top california public,University of California berkeley
top ivy,harvard university
top private (northwe,northwestern university
top public (fl),university of florida
top public (uva),University of Virginia
top public- michigan,University of Michigan ann arbor
top public/ uc san d,University of California san diego
top public: university of dela,University of Delaware
top suny,binghamton university suny
top uc,University of California berkeley
"troy university, alabama",Troy University
ttu rcoba,Rawls College of Business
tui,trident university international
tulane (ug) uno (g),Tulane University
twu,Trinity Washington University
u c s c,"University of California, Santa Cruz"
u mich,University of Michigan ann arbor
u michigan,University of Michigan ann arbor
u michigan aa,University of Michigan ann arbor
u of ca,University of California davis
u of cali,University of California davis
u of california,University of California davis
u of california school,University of California davis
u of f,University of Florida
u of fl,University of Florida
u of houston- main campus,University of Houston
u of mich,University of Michigan ann arbor
u of mich.,University of Michigan ann arbor
u of mn,University of Minnesota twin cities
u of wa,University of Washington
u. hawaii,university of hawaii manoa
u.c.f.,University of Central Florida
u.t.,University of Texas austin
uafs,University of Arkansas Fort Smith
ualbany,University at Albany suny
ubalt,University of Baltimore
uc -- large public,University of California davis
uc - public,University of California davis
uc (public),University of California davis
uc berkeley (ba) usc school of,"University of California, Berkeley"
uc- large public,University of California davis
uc merced,University of California merced
uc riverside,University of California riverside
uc san diego,University of California San Diego
uc santa barbara,University of California santa barbara
uc santa barbara - large publi,University of California santa barbara
uc santa cruz,University of California Santa Cruz
uc- santa cruz,University of California santa cruz
uc school,University of California davis
uc school in ca,University of California davis
