,index_x,College Name or Type,State,City_x,big10,sisters,pac,hbcu,public_ivy,west_ivy,little_ivy,sec,flagship,id,City_y,State_acronym,Unnamed: 0,Unnamed: 0.1,enrollment,group,index_y,location,name,public,rank,tuition,union
343,450,big 12,california,small suburban,1,,,,,,,,,451,,,,,,,,,,,,,
331,443,big 12,colorado,,1,,,,,,,,,444,,,,,,,,,,,,,
349,453,big 12,connecticut,,1,,,,,,,,,454,,,,,,,,,,,,,
350,454,big 12,missouri,st. louis,1,,,,,,,,,455,,,,,,,,,,,,,
321,435,big 12,new york,,1,,,,,,,,,436,,,,,,,,,,,,,
324,438,big 12,new york,,1,,,,,,,,,439,,,,,,,,,,,,,
325,439,big 12,washington - d.c.,,1,,,,,,,,,440,,,,,,,,,,,,,
419,587,big 12 public,,,1,,,,,,,,,588,,,,,,,,,,,,,
429,604,big 12 university,,,1,,,,,,,,,605,,,,,,,,,,,,,
366,471,big eight,,,1,,,,,,,,,472,,,,,,,,,,,,,
26,40,big ten,,,1,,,,,,,,,41,,,,,,,,,,,,,
27,41,big ten,,,1,,,,,,,,,42,,,,,,,,,,,,,
30,43,big ten,,,1,,,,,,,,,44,,,,,,,,,,,,,
31,44,big ten,,,1,,,,,,,,,45,,,,,,,,,,,,,
39,51,big ten,,,1,,,,,,,,,52,,,,,,,,,,,,,
44,56,big ten,,,1,,,,,,,,,57,,,,,,,,,,,,,
46,58,big ten,,,1,,,,,,,,,59,,,,,,,,,,,,,
51,63,big ten,,,1,,,,,,,,,64,,,,,,,,,,,,,
59,69,big ten,,,1,,,,,,,,,70,,,,,,,,,,,,,
60,70,big ten,,,1,,,,,,,,,71,,,,,,,,,,,,,
70,77,big ten,,,1,,,,,,,,,78,,,,,,,,,,,,,
72,79,big ten,,,1,,,,,,,,,80,,,,,,,,,,,,,
83,88,big ten,,,1,,,,,,,,,89,,,,,,,,,,,,,
89,92,big ten,,,1,,,,,,,,,93,,,,,,,,,,,,,
107,102,big ten,,,1,,,,,,,,,103,,,,,,,,,,,,,
110,104,big ten,,,1,,,,,,,,,105,,,,,,,,,,,,,
112,106,big ten,,,1,,,,,,,,,107,,,,,,,,,,,,,
123,113,big ten,,,1,,,,,,,,,114,,,,,,,,,,,,,
141,127,big ten,,,1,,,,,,,,,128,,,,,,,,,,,,,
148,134,big ten,,,1,,,,,,,,,135,,,,,,,,,,,,,
156,140,big ten,,,1,,,,,,,,,141,,,,,,,,,,,,,
160,143,big ten,,,1,,,,,,,,,144,,,,,,,,,,,,,
169,150,big ten,,,1,,,,,,,,,151,,,,,,,,,,,,,
61,71,big ten,,boston,1,,,,,,,,,72,,,,,,,,,,,,,
168,149,big ten,,dc,1,,,,,,,,,150,,,,,,,,,,,,,
47,59,big ten,,midwest,1,,,,,,,,,60,,,,,,,,,,,,,
100,98,big ten,,midwest,1,,,,,,,,,99,,,,,,,,,,,,,
143,129,big ten,,midwest,1,,,,,,,,,130,,,,,,,,,,,,,
49,61,big ten,,"minneapolis, mn",1,,,,,,,,,62,,,,,,,,,,,,,
2,25,big ten,,"nashville, tn",1,,,,,,,,,26,,,,,,,,,,,,,
74,81,big ten,alabama,,1,,,,,,,,,82,,,,,,,,,,,,,
174,154,big ten,alabama,,1,,,,,,,,,155,,,,,,,,,,,,,
45,57,big ten,california,,1,,,,,,,,,58,,,,,,,,,,,,,
21,36,big ten,california,oakland,1,,,,,,,,,37,,,,,,,,,,,,,
69,76,big ten,colorado,,1,,,,,,,,,77,,,,,,,,,,,,,
125,115,big ten,connecticut,chicago,1,,,,,,,,,116,,,,,,,,,,,,,
55,66,big ten,florida,,1,,,,,,,,,67,,,,,,,,,,,,,
82,87,big ten,massachusetts,,1,,,,,,,,,88,,,,,,,,,,,,,
138,124,big ten,massachusetts,boston,1,,,,,,,,,125,,,,,,,,,,,,,
139,125,big ten,missouri,,1,,,,,,,,,126,,,,,,,,,,,,,
12,31,big ten,new york,,1,,,,,,,,,32,,,,,,,,,,,,,
58,68,big ten,new york,,1,,,,,,,,,69,,,,,,,,,,,,,
157,141,big ten,new york,,1,,,,,,,,,142,,,,,,,,,,,,,
48,60,big ten,new york,brooklyn,1,,,,,,,,,61,,,,,,,,,,,,,
32,45,big ten,new york,buffalo,1,,,,,,,,,46,,,,,,,,,,,,,
52,64,big ten,new york,new york,1,,,,,,,,,65,,,,,,,,,,,,,
137,123,big ten,new york,rochester,1,,,,,,,,,124,,,,,,,,,,,,,
25,39,big ten,other,,1,,,,,,,,,40,,,,,,,,,,,,,
50,62,big ten,other,,1,,,,,,,,,63,,,,,,,,,,,,,
166,147,big ten,other,urban,1,,,,,,,,,148,,,,,,,,,,,,,
149,135,big ten,virginia,northern,1,,,,,,,,,136,,,,,,,,,,,,,
24,38,big ten,washington - d.c.,,1,,,,,,,,,39,,,,,,,,,,,,,
35,48,big ten,washington - d.c.,urban,1,,,,,,,,,49,,,,,,,,,,,,,
361,466,big ten burrito,,,1,,,,,,,,,467,,,,,,,,,,,,,
412,570,big ten school,new york,new york,1,,,,,,,,,571,,,,,,,,,,,,,
410,564,big ten state school,,"tallahassee, florida",1,,,,,,,,,565,,,,,,,,,,,,,
399,545,big xii,,,1,,,,,,,,,546,,,,,,,,,,,,,
400,546,big xii,,,1,,,,,,,,,547,,,,,,,,,,,,,
307,407,big-10,arizona,phoenix,1,,,,,,,,,408,,,,,,,,,,,,,
374,502,big10,new york,zurich,1,,,,,,,,,503,,,,,,,,,,,,,
316,433,big10student,alabama,,1,,,,,,,,,434,,,,,,,,,,,,,
59,577,"ca, pac 10 school",indiana,,,,1,,,,,,,578,,,,,,,,,,,,,
424,595,elite big ten,,washington,1,,,,,,,,,596,,,,,,,,,,,,,
282,578,elite hbcu,connecticut,wethersfield,,,,1,,,,,,579,,,,,,,,,,,,,
24,517,flagship public,,,,,,,,,,,1,518,,,,,,,,,,,,,
23,516,flagship public,,upper midwest,,,,,,,,,1,517,,,,,,,,,,,,,
21,514,flagship state u.,,,,,,,,,,,1,515,,,,,,,,,,,,,
26,580,flagship state unive,other,small city,,,,,,,,,1,581,,,,,,,,,,,,,
50,166,hbcu,,,,,,1,,,,,,167,,,,,,,,,,,,,
63,172,hbcu,,,,,,1,,,,,,173,,,,,,,,,,,,,
64,173,hbcu,,,,,,1,,,,,,174,,,,,,,,,,,,,
72,178,hbcu,,,,,,1,,,,,,179,,,,,,,,,,,,,
79,180,hbcu,,,,,,1,,,,,,181,,,,,,,,,,,,,
99,186,hbcu,,,,,,1,,,,,,187,,,,,,,,,,,,,
123,194,hbcu,,,,,,1,,,,,,195,,,,,,,,,,,,,
124,195,hbcu,,,,,,1,,,,,,196,,,,,,,,,,,,,
138,203,hbcu,,,,,,1,,,,,,204,,,,,,,,,,,,,
139,204,hbcu,,,,,,1,,,,,,205,,,,,,,,,,,,,
179,217,hbcu,,,,,,1,,,,,,218,,,,,,,,,,,,,
188,221,hbcu,,,,,,1,,,,,,222,,,,,,,,,,,,,
59,169,hbcu,,atlanta,,,,1,,,,,,170,,,,,,,,,,,,,
157,210,hbcu,,"atlanta, ga",,,,1,,,,,,211,,,,,,,,,,,,,
36,162,hbcu,,"hampton, va",,,,1,,,,,,163,,,,,,,,,,,,,
49,165,hbcu,,"marietta, ga, usa",,,,1,,,,,,166,,,,,,,,,,,,,
90,183,hbcu,,new york,,,,1,,,,,,184,,,,,,,,,,,,,
130,199,hbcu,,texas,,,,1,,,,,,200,,,,,,,,,,,,,
65,174,hbcu,minnesota,minneapolis,,,,1,,,,,,175,,,,,,,,,,,,,
125,196,hbcu,new york,,,,,1,,,,,,197,,,,,,,,,,,,,
110,189,hbcu,other,,,,,1,,,,,,190,,,,,,,,,,,,,
71,177,hbcu,other,nunya&#39; business,,,,1,,,,,,178,,,,,,,,,,,,,
60,170,hbcu,washington - d.c.,,,,,1,,,,,,171,,,,,,,,,,,,,
165,213,hbcu,washington - d.c.,,,,,1,,,,,,214,,,,,,,,,,,,,
66,175,hbcu,washington - d.c.,dc,,,,1,,,,,,176,,,,,,,,,,,,,
126,197,hbcu,washington - d.c.,washington,,,,1,,,,,,198,,,,,,,,,,,,,
137,202,hbcu,washington - d.c.,washington,,,,1,,,,,,203,,,,,,,,,,,,,
278,561,hbcu (private),california,los angeles,,,,1,,,,,,562,,,,,,,,,,,,,
286,596,hbcu (public),,,,,,1,,,,,,597,,,,,,,,,,,,,
281,573,hbcu (undergrad) ivy (grad),,,,,,1,,,,,,574,,,,,,,,,,,,,
235,501,hbcu/ state univ,,,,,,1,,,,,,502,,,,,,,,,,,,,
405,557,large public (big ten),,,1,,,,,,,,,558,,,,,,,,,,,,,
404,556,large public(bigten),,,1,,,,,,,,,557,,,,,,,,,,,,,
414,574,look at my username,massachusetts,boston,1,,,,,,,,,575,,,,,,,,,,,,,
66,410,major / public ivy,new york,,,,,,1,,,,,411,,,,,,,,,,,,,
310,409,major big 10 university,,,1,,,,,,,,,410,,,,,,,,,,,,,
28,487,pac 10,,,,,1,,,,,,,488,,,,,,,,,,,,,
35,492,pac 10,,,,,1,,,,,,,493,,,,,,,,,,,,,
29,488,pac 10,,"tucson, az",,,1,,,,,,,489,,,,,,,,,,,,,
34,491,pac 10,,urban,,,1,,,,,,,492,,,,,,,,,,,,,
36,493,pac 10,washington - d.c.,,,,1,,,,,,,494,,,,,,,,,,,,,
