,index_x,College Name or Type,State,City_x,big10,sisters,pac,hbcu,public_ivy,west_ivy,little_ivy,sec,flagship,id,City_y,State_acronym,Unnamed: 0,Unnamed: 0.1,enrollment,group,index_y,location,name,public,rank,tuition,union
27,249,public ivy,,,,,,,1,,,,,250,,,,,,,,,,,,,
29,251,public ivy,,,,,,,1,,,,,252,,,,,,,,,,,,,
36,258,public ivy,,,,,,,1,,,,,259,,,,,,,,,,,,,
38,260,public ivy,,,,,,,1,,,,,261,,,,,,,,,,,,,
40,262,public ivy,,,,,,,1,,,,,263,,,,,,,,,,,,,
42,264,public ivy,,,,,,,1,,,,,265,,,,,,,,,,,,,
51,272,public ivy,,,,,,,1,,,,,273,,,,,,,,,,,,,
55,276,public ivy,,,,,,,1,,,,,277,,,,,,,,,,,,,
60,281,public ivy,,,,,,,1,,,,,282,,,,,,,,,,,,,
63,284,public ivy,,,,,,,1,,,,,285,,,,,,,,,,,,,
65,286,public ivy,,,,,,,1,,,,,287,,,,,,,,,,,,,
56,277,public ivy,,major city,,,,,1,,,,,278,,,,,,,,,,,,,
21,244,public ivy,alabama,,,,,,1,,,,,245,,,,,,,,,,,,,
57,278,public ivy,florida,,,,,,1,,,,,279,,,,,,,,,,,,,
35,257,public ivy,florida,gainesville,,,,,1,,,,,258,,,,,,,,,,,,,
3,229,public ivy,florida,tampa,,,,,1,,,,,230,,,,,,,,,,,,,
59,280,public ivy,georgia,,,,,,1,,,,,281,,,,,,,,,,,,,
12,236,public ivy,indiana,,,,,,1,,,,,237,,,,,,,,,,,,,
18,241,public ivy,indiana,,,,,,1,,,,,242,,,,,,,,,,,,,
14,238,public ivy,kentucky,,,,,,1,,,,,239,,,,,,,,,,,,,
20,243,public ivy,new jersey,,,,,,1,,,,,244,,,,,,,,,,,,,
15,239,public ivy,new york,,,,,,1,,,,,240,,,,,,,,,,,,,
37,259,public ivy,new york,,,,,,1,,,,,260,,,,,,,,,,,,,
41,263,public ivy,new york,,,,,,1,,,,,264,,,,,,,,,,,,,
31,253,public ivy,north carolina,,,,,,1,,,,,254,,,,,,,,,,,,,
46,267,public ivy,north carolina,,,,,,1,,,,,268,,,,,,,,,,,,,
64,285,public ivy,north carolina,clemmons,,,,,1,,,,,286,,,,,,,,,,,,,
28,250,public ivy,north carolina,raleigh,,,,,1,,,,,251,,,,,,,,,,,,,
25,247,public ivy,pennsylvania,pittsburgh,,,,,1,,,,,248,,,,,,,,,,,,,
32,254,public ivy,washington - d.c.,washington,,,,,1,,,,,255,,,,,,,,,,,,,
52,273,public ivy,washington - d.c.,washington,,,,,1,,,,,274,,,,,,,,,,,,,
67,499,public ivy (?),,,,,,,1,,,,,500,,,,,,,,,,,,,
73,605,public ivy baby,,,,,,,1,,,,,606,,,,,,,,,,,,,
367,472,"public, big 12",,,1,,,,,,,,,473,,,,,,,,,,,,,
71,597,publicivy,,,,,,,1,,,,,598,,,,,,,,,,,,,
25,567,se state flagship,,,,,,,,,,,1,568,,,,,,,,,,,,,
4,4,sec,,,,,,,,,,1,,5,,,,,,,,,,,,,
12,11,sec,,,,,,,,,,1,,12,,,,,,,,,,,,,
14,13,sec,,,,,,,,,,1,,14,,,,,,,,,,,,,
21,19,sec,,,,,,,,,,1,,20,,,,,,,,,,,,,
1,1,sec,,al,,,,,,,,1,,2,,,,,,,,,,,,,
0,0,sec,,atl,,,,,,,,1,,1,,,,,,,,,,,,,
15,14,sec,,georgia,,,,,,,,1,,15,,,,,,,,,,,,,
20,18,sec,alaska,,,,,,,,,1,,19,,,,,,,,,,,,,
34,579,sec school,,,,,,,,,,1,,580,,,,,,,,,,,,,
33,568,sec! sec!,washington,portland,,,,,,,,1,,569,,,,,,,,,,,,,
31,588,seven sistahz,vermont,,,1,,,,,,,,589,,,,,,,,,,,,,
26,464,seven sister,,,,1,,,,,,,,465,,,,,,,,,,,,,
19,460,seven sister,ohio,,,1,,,,,,,,461,,,,,,,,,,,,,
25,463,seven sister,washington - d.c.,washington,,1,,,,,,,,464,,,,,,,,,,,,,
0,399,seven sisters,,,,1,,,,,,,,400,,,,,,,,,,,,,
15,406,seven sisters,,ma,,1,,,,,,,,407,,,,,,,,,,,,,
10,403,seven sisters,,"new york, ny",,1,,,,,,,,404,,,,,,,,,,,,,
11,404,seven sisters,texas,,,1,,,,,,,,405,,,,,,,,,,,,,
213,416,small hbcu,,"fayetteville, nc",,,,1,,,,,,417,,,,,,,,,,,,,
373,500,state - big ten,colorado,denver,1,,,,,,,,,501,,,,,,,,,,,,,
2,420,state flagship,,,,,,,,,,,1,421,,,,,,,,,,,,,
6,424,state flagship,,,,,,,,,,,1,425,,,,,,,,,,,,,
7,425,state flagship,,,,,,,,,,,1,426,,,,,,,,,,,,,
8,426,state flagship,,,,,,,,,,,1,427,,,,,,,,,,,,,
9,427,state flagship,,,,,,,,,,,1,428,,,,,,,,,,,,,
10,428,state flagship,,,,,,,,,,,1,429,,,,,,,,,,,,,
5,423,state flagship,colorado,,,,,,,,,,1,424,,,,,,,,,,,,,
14,432,state flagship public,,some big city,,,,,,,,,1,433,,,,,,,,,,,,,
28,593,state flagship university,north carolina,,,,,,,,,,1,594,,,,,,,,,,,,,
277,553,top 3 hbcu,,,,,,1,,,,,,554,,,,,,,,,,,,,
313,414,top big ten school,other,,1,,,,,,,,,415,,,,,,,,,,,,,
211,411,top hbcu,,,,,,1,,,,,,412,,,,,,,,,,,,,
212,412,top hbcu,,,,,,1,,,,,,413,,,,,,,,,,,,,
408,560,top public big 10,arkansas,,1,,,,,,,,,561,,,,,,,,,,,,,
236,508,well regarded large hbcu,,large florida city,,,,1,,,,,,509,,,,,,,,,,,,,
0,529,west coast ivy,,,,,,,,1,,,,530,,,,,,,,,,,,,
